,best
agreement_determiner_noun-across_1_adjective,0.529
agreement_determiner_noun-between_neighbors,0.545
agreement_subject_verb-across_prepositional_phrase,0.548
agreement_subject_verb-across_relative_clause,0.5185
agreement_subject_verb-in_question_with_aux,0.505
agreement_subject_verb-in_simple_question,0.509
anaphor_agreement-pronoun_gender,0.537
argument_structure-dropped_argument,0.931
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.6345
binding-principle_a,0.4335
case-subjective_pronoun,1.0
ellipsis-n_bar,0.4205
filler-gap-wh_question_object,0.655
filler-gap-wh_question_subject,0.8275
irregular-verb,0.656
island-effects-adjunct_island,0.593
island-effects-coordinate_structure_constraint,0.6385
local_attractor-in_question_with_aux,0.6115
npi_licensing-matrix_question,0.238
npi_licensing-only_npi_licensor,0.962
quantifiers-existential_there,0.7725
quantifiers-superlative,0.4515
