,epoch_0
adjunct_island,0.509
anaphor_gender_agreement,0.569
anaphor_number_agreement,0.528
animate_subject_passive,0.488
animate_subject_trans,0.55
causative,0.459
complex_NP_island,0.496
coordinate_structure_constraint_complex_left_branch,0.515
coordinate_structure_constraint_object_extraction,0.502
determiner_noun_agreement_1,0.5
determiner_noun_agreement_2,0.49
determiner_noun_agreement_irregular_1,0.517
determiner_noun_agreement_irregular_2,0.5
determiner_noun_agreement_with_adj_2,0.506
determiner_noun_agreement_with_adj_irregular_1,0.53
determiner_noun_agreement_with_adj_irregular_2,0.504
determiner_noun_agreement_with_adjective_1,0.496
distractor_agreement_relational_noun,0.523
distractor_agreement_relative_clause,0.546
drop_argument,0.665
ellipsis_n_bar_1,0.485
ellipsis_n_bar_2,0.392
existential_there_object_raising,0.528
existential_there_quantifiers_1,0.389
existential_there_quantifiers_2,0.662
existential_there_subject_raising,0.484
expletive_it_object_raising,0.486
inchoative,0.441
intransitive,0.548
irregular_past_participle_adjectives,0.581
irregular_past_participle_verbs,0.437
irregular_plural_subject_verb_agreement_1,0.493
irregular_plural_subject_verb_agreement_2,0.49
left_branch_island_echo_question,0.269
left_branch_island_simple_question,0.501
matrix_question_npi_licensor_present,0.626
npi_present_1,0.206
npi_present_2,0.377
only_npi_licensor_present,0.015
only_npi_scope,0.779
passive_1,0.619
passive_2,0.661
principle_A_c_command,0.309
principle_A_case_1,0.387
principle_A_case_2,0.48
principle_A_domain_1,0.514
principle_A_domain_2,0.503
principle_A_domain_3,0.51
principle_A_reconstruction,0.513
regular_plural_subject_verb_agreement_1,0.48
regular_plural_subject_verb_agreement_2,0.494
sentential_negation_npi_licensor_present,0.899
sentential_negation_npi_scope,0.38
sentential_subject_island,0.494
superlative_quantifiers_1,0.766
superlative_quantifiers_2,0.138
tough_vs_raising_1,0.546
tough_vs_raising_2,0.431
transitive,0.512
wh_island,0.194
wh_questions_object_gap,0.604
wh_questions_subject_gap,0.81
wh_questions_subject_gap_long_distance,0.64
wh_vs_that_no_gap,0.739
wh_vs_that_no_gap_long_distance,0.735
wh_vs_that_with_gap,0.256
wh_vs_that_with_gap_long_distance,0.28
