,best
adjunct_island,0.547
anaphor_gender_agreement,0.378
anaphor_number_agreement,0.494
animate_subject_passive,0.532
animate_subject_trans,0.452
causative,0.477
complex_NP_island,0.781
coordinate_structure_constraint_complex_left_branch,0.454
coordinate_structure_constraint_object_extraction,0.523
determiner_noun_agreement_1,0.53
determiner_noun_agreement_2,0.513
determiner_noun_agreement_irregular_1,0.467
determiner_noun_agreement_irregular_2,0.498
determiner_noun_agreement_with_adj_2,0.497
determiner_noun_agreement_with_adj_irregular_1,0.479
determiner_noun_agreement_with_adj_irregular_2,0.467
determiner_noun_agreement_with_adjective_1,0.486
distractor_agreement_relational_noun,0.537
distractor_agreement_relative_clause,0.518
drop_argument,0.487
ellipsis_n_bar_1,0.255
ellipsis_n_bar_2,0.685
existential_there_object_raising,0.607
existential_there_quantifiers_1,0.618
existential_there_quantifiers_2,0.509
existential_there_subject_raising,0.545
expletive_it_object_raising,0.59
inchoative,0.465
intransitive,0.445
irregular_past_participle_adjectives,0.286
irregular_past_participle_verbs,0.474
irregular_plural_subject_verb_agreement_1,0.481
irregular_plural_subject_verb_agreement_2,0.468
left_branch_island_echo_question,0.614
left_branch_island_simple_question,0.424
matrix_question_npi_licensor_present,0.242
npi_present_1,0.784
npi_present_2,0.731
only_npi_licensor_present,0.006
only_npi_scope,0.199
passive_1,0.554
passive_2,0.545
principle_A_c_command,0.372
principle_A_case_1,0.918
principle_A_case_2,0.495
principle_A_domain_1,0.197
principle_A_domain_2,0.583
principle_A_domain_3,0.484
principle_A_reconstruction,0.299
regular_plural_subject_verb_agreement_1,0.544
regular_plural_subject_verb_agreement_2,0.528
sentential_negation_npi_licensor_present,0.942
sentential_negation_npi_scope,0.096
sentential_subject_island,0.5
superlative_quantifiers_1,0.37
superlative_quantifiers_2,0.741
tough_vs_raising_1,0.424
tough_vs_raising_2,0.622
transitive,0.582
wh_island,0.904
wh_questions_object_gap,0.633
wh_questions_subject_gap,0.707
wh_questions_subject_gap_long_distance,0.347
wh_vs_that_no_gap,0.953
wh_vs_that_no_gap_long_distance,0.966
wh_vs_that_with_gap,0.062
wh_vs_that_with_gap_long_distance,0.043
