,best
agreement_determiner_noun-across_1_adjective,0.69
agreement_determiner_noun-between_neighbors,0.773
agreement_subject_verb-across_prepositional_phrase,0.6135
agreement_subject_verb-across_relative_clause,0.5915
agreement_subject_verb-in_question_with_aux,0.5385
agreement_subject_verb-in_simple_question,0.5465
anaphor_agreement-pronoun_gender,0.6065
argument_structure-dropped_argument,0.791
argument_structure-swapped_arguments,0.983
argument_structure-transitive,0.658
binding-principle_a,0.3625
case-subjective_pronoun,0.998
ellipsis-n_bar,0.3855
filler-gap-wh_question_object,0.645
filler-gap-wh_question_subject,0.9895
irregular-verb,0.811
island-effects-adjunct_island,0.8125
island-effects-coordinate_structure_constraint,0.7035
local_attractor-in_question_with_aux,0.4835
npi_licensing-matrix_question,0.123
npi_licensing-only_npi_licensor,0.9365
quantifiers-existential_there,0.885
quantifiers-superlative,0.2065
