,checkpoint-32000
adjunct_island,0.844
adv_order,0.925
anaphor_gender_agreement,0.565
anaphor_number_agreement,0.799
center_embedding_double_1,0.235
center_embedding_double_2,0.996
center_embedding_single_1,0.268
center_embedding_single_2,0.997
complex_np_island,0.24
coordinate_structure_constrain_object_extraction,0.531
determiner_noun_agreement_1,0.953
determiner_noun_agreement_2,0.994
determiner_noun_agreement_adj_1,0.879
determiner_noun_agreement_adj_2,0.951
ellipsis,0.482
green_ideas,0.675
intransitive,0.794
left_branch_island_simple_question,0.676
matrix_question_npi_licensor_present,0.538
npi_present,0.393
only_npi_licensor_present,0.996
only_npi_scope,0.975
pp_order,0.778
principle_A_c_command,0.446
principle_A_domain_1,1.0
principle_A_domain_2,0.646
principle_A_domain_3,0.566
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.005
recursion_intensifier_adv_medium,0.003
recursion_intensifier_adv_short,0.066
recursion_poss_ditransitive_long,0.887
recursion_poss_ditransitive_medium,0.959
recursion_poss_ditransitive_short,0.972
recursion_poss_transitive_long,0.779
recursion_poss_transitive_medium,0.844
recursion_poss_transitive_short,0.987
recursion_pp_is_long,0.066
recursion_pp_is_medium,0.173
recursion_pp_is_short,0.738
recursion_pp_verb_long,0.651
recursion_pp_verb_medium,0.603
recursion_pp_verb_short,0.76
sentential_negation_npi_licensor_present,0.432
sentential_negation_npi_scope,0.41
subj_aux_agreement_question_vary_aux,0.832
subj_aux_agreement_question_vary_subj,0.637
subj_aux_vary_subj,0.863
subj_aux_vary_verb,0.968
subj_aux_vary_verb_pp,0.281
subj_aux_vary_verb_rc,0.326
subj_verb_vary_verb,0.86
svo_vos,0.735
swapped_ditransitive_1,0.927
swapped_ditransitive_2,0.834
transitive,0.903
wh_island,0.623
wh_questions_object_gap,0.198
wh_questions_object_gap_long_distance,0.336
wh_questions_subject_gap,0.88
wh_questions_subject_gap_long_distance,0.912
wh_vs_that_no_gap,0.961
wh_vs_that_no_gap_long_distance,0.945
wh_vs_that_with_gap,0.383
wh_vs_that_with_gap_long_distance,0.108
