,epoch_0
adjunct_island,0.465
anaphor_gender_agreement,0.591
anaphor_number_agreement,0.512
animate_subject_passive,0.512
animate_subject_trans,0.511
causative,0.41
complex_NP_island,0.516
coordinate_structure_constraint_complex_left_branch,0.378
coordinate_structure_constraint_object_extraction,0.23
determiner_noun_agreement_1,0.509
determiner_noun_agreement_2,0.517
determiner_noun_agreement_irregular_1,0.53
determiner_noun_agreement_irregular_2,0.509
determiner_noun_agreement_with_adj_2,0.496
determiner_noun_agreement_with_adj_irregular_1,0.571
determiner_noun_agreement_with_adj_irregular_2,0.503
determiner_noun_agreement_with_adjective_1,0.503
distractor_agreement_relational_noun,0.451
distractor_agreement_relative_clause,0.531
drop_argument,0.538
ellipsis_n_bar_1,0.207
ellipsis_n_bar_2,0.569
existential_there_object_raising,0.633
existential_there_quantifiers_1,0.585
existential_there_quantifiers_2,0.011
existential_there_subject_raising,0.57
expletive_it_object_raising,0.601
inchoative,0.41
intransitive,0.52
irregular_past_participle_adjectives,0.404
irregular_past_participle_verbs,0.61
irregular_plural_subject_verb_agreement_1,0.527
irregular_plural_subject_verb_agreement_2,0.534
left_branch_island_echo_question,0.432
left_branch_island_simple_question,0.446
matrix_question_npi_licensor_present,0.494
npi_present_1,0.005
npi_present_2,0.026
only_npi_licensor_present,0.021
only_npi_scope,0.317
passive_1,0.596
passive_2,0.594
principle_A_c_command,0.651
principle_A_case_1,0.975
principle_A_case_2,0.427
principle_A_domain_1,0.696
principle_A_domain_2,0.475
principle_A_domain_3,0.503
principle_A_reconstruction,0.407
regular_plural_subject_verb_agreement_1,0.557
regular_plural_subject_verb_agreement_2,0.473
sentential_negation_npi_licensor_present,0.793
sentential_negation_npi_scope,0.413
sentential_subject_island,0.475
superlative_quantifiers_1,0.127
superlative_quantifiers_2,0.429
tough_vs_raising_1,0.32
tough_vs_raising_2,0.682
transitive,0.533
wh_island,0.959
wh_questions_object_gap,0.624
wh_questions_subject_gap,0.894
wh_questions_subject_gap_long_distance,0.742
wh_vs_that_no_gap,0.758
wh_vs_that_no_gap_long_distance,0.871
wh_vs_that_with_gap,0.233
wh_vs_that_with_gap_long_distance,0.178
