,best
adjunct_island,0.717
superlative_quantifiers_2,0.576
anaphor_gender_agreement,0.706
tough_vs_raising_1,0.432
anaphor_number_agreement,0.677
tough_vs_raising_2,0.631
animate_subject_passive,0.609
wh_questions_subject_gap,0.806
animate_subject_trans,0.639
causative,0.434
wh_vs_that_no_gap,0.963
complex_NP_island,0.432
coordinate_structure_constraint_complex_left_branch,0.114
left_branch_island_echo_question,0.468
coordinate_structure_constraint_object_extraction,0.397
transitive,0.608
determiner_noun_agreement_1,0.601
wh_island,0.636
determiner_noun_agreement_2,0.506
only_npi_scope,0.319
determiner_noun_agreement_irregular_1,0.543
passive_1,0.61
determiner_noun_agreement_irregular_2,0.6
principle_A_domain_1,0.989
determiner_noun_agreement_with_adj_2,0.477
left_branch_island_simple_question,0.124
determiner_noun_agreement_with_adj_irregular_1,0.539
matrix_question_npi_licensor_present,0.089
determiner_noun_agreement_with_adj_irregular_2,0.541
npi_present_1,0.246
determiner_noun_agreement_with_adjective_1,0.513
principle_A_domain_2,0.506
distractor_agreement_relational_noun,0.435
principle_A_domain_3,0.509
distractor_agreement_relative_clause,0.489
drop_argument,0.538
wh_vs_that_with_gap,0.057
ellipsis_n_bar_1,0.41
ellipsis_n_bar_2,0.527
principle_A_reconstruction,0.229
existential_there_object_raising,0.7
regular_plural_subject_verb_agreement_1,0.509
existential_there_quantifiers_1,0.833
regular_plural_subject_verb_agreement_2,0.458
existential_there_quantifiers_2,0.518
sentential_negation_npi_licensor_present,1.0
existential_there_subject_raising,0.49
wh_questions_object_gap,0.561
expletive_it_object_raising,0.657
inchoative,0.492
intransitive,0.489
sentential_negation_npi_scope,0.542
irregular_past_participle_adjectives,0.733
sentential_subject_island,0.454
irregular_past_participle_verbs,0.671
npi_present_2,0.241
irregular_plural_subject_verb_agreement_1,0.58
only_npi_licensor_present,0.411
irregular_plural_subject_verb_agreement_2,0.526
passive_2,0.532
principle_A_c_command,0.409
principle_A_case_1,1.0
principle_A_case_2,0.513
superlative_quantifiers_1,0.237
wh_questions_subject_gap_long_distance,0.791
wh_vs_that_no_gap_long_distance,0.952
wh_vs_that_with_gap_long_distance,0.093
