,best
agreement_determiner_noun-across_1_adjective,0.505
agreement_determiner_noun-between_neighbors,0.5195
agreement_subject_verb-across_prepositional_phrase,0.52
agreement_subject_verb-across_relative_clause,0.5135
agreement_subject_verb-in_question_with_aux,0.5065
agreement_subject_verb-in_simple_question,0.5
anaphor_agreement-pronoun_gender,0.5275
argument_structure-dropped_argument,0.9405
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.596
binding-principle_a,0.3425
case-subjective_pronoun,1.0
ellipsis-n_bar,0.3155
filler-gap-wh_question_object,0.3245
filler-gap-wh_question_subject,0.622
irregular-verb,0.583
island-effects-adjunct_island,0.6955
island-effects-coordinate_structure_constraint,0.562
local_attractor-in_question_with_aux,0.416
npi_licensing-matrix_question,0.464
npi_licensing-only_npi_licensor,0.99
quantifiers-existential_there,0.6465
quantifiers-superlative,0.509
