,best
agreement_determiner_noun-across_1_adjective,0.493
agreement_determiner_noun-between_neighbors,0.4935
agreement_subject_verb-across_prepositional_phrase,0.482
agreement_subject_verb-across_relative_clause,0.482
agreement_subject_verb-in_question_with_aux,0.508
agreement_subject_verb-in_simple_question,0.4985
anaphor_agreement-pronoun_gender,0.5365
argument_structure-dropped_argument,0.878
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.5325
binding-principle_a,0.516
case-subjective_pronoun,0.9955
ellipsis-n_bar,0.3795
filler-gap-wh_question_object,0.807
filler-gap-wh_question_subject,0.9345
irregular-verb,0.5235
island-effects-adjunct_island,0.6105
island-effects-coordinate_structure_constraint,0.694
local_attractor-in_question_with_aux,0.732
npi_licensing-matrix_question,0.527
npi_licensing-only_npi_licensor,0.0
quantifiers-existential_there,0.767
quantifiers-superlative,0.47
