,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 16580.38671875), (1, 16327.7529296875)]","[(0, 15805.79296875), (1, 17484.17578125)]","[(0, 21261.73828125), (1, 19017.068359375)]","[(0, 23604.8203125), (1, 24773.85546875)]","[(0, 16431.130859375), (1, 15571.01953125)]","[(0, 15708.283203125), (1, 13624.224609375)]","[(0, 22716.8203125), (1, 22327.185546875)]","[(0, 22433.369140625), (1, 23136.16796875)]","[(0, 23557.2578125), (1, 26323.037109375)]","[(0, 39036.49609375), (1, 33189.10546875)]","[(0, 18523.078125), (1, 18235.662109375)]","[(0, 23388.427734375), (1, 22079.150390625)]","[(0, 17825.298828125), (1, 17141.685546875)]","[(0, 14911.1455078125), (1, 16801.880859375)]","[(0, 30414.208984375), (1, 22800.423828125)]","[(0, 18319.78125), (1, 18394.572265625)]","[(0, 23381.4921875), (1, 22931.111328125)]","[(0, 17014.111328125), (1, 16907.115234375)]","[(0, 17102.83984375), (1, 17144.28515625)]","[(0, 25380.0546875), (1, 21598.748046875)]","[(0, 24174.666015625), (1, 21569.845703125)]","[(0, 22645.654296875), (1, 25904.359375)]","[(0, 21387.419921875), (1, 20339.21875)]"
1,"[(0, 18208.951171875), (1, 22025.689453125)]","[(0, 19410.205078125), (1, 20789.900390625)]","[(0, 20780.345703125), (1, 18748.5)]","[(0, 17293.751953125), (1, 18602.935546875)]","[(0, 25626.9921875), (1, 21206.537109375)]","[(0, 19873.7265625), (1, 17145.16796875)]","[(0, 21899.09765625), (1, 19469.474609375)]","[(0, 21927.4765625), (1, 21309.21875)]","[(0, 16245.556640625), (1, 15668.5595703125)]","[(0, 19833.33984375), (1, 20473.908203125)]","[(0, 26188.5), (1, 25372.115234375)]","[(0, 22507.794921875), (1, 22260.33984375)]","[(0, 23002.337890625), (1, 21731.0390625)]","[(0, 18741.994140625), (1, 21088.232421875)]","[(0, 30596.3828125), (1, 23630.8359375)]","[(0, 21415.07421875), (1, 21373.37109375)]","[(0, 23167.12109375), (1, 23594.265625)]","[(0, 17672.3828125), (1, 18178.015625)]","[(0, 21833.533203125), (1, 18738.1171875)]","[(0, 26141.6875), (1, 20031.431640625)]","[(0, 24073.505859375), (1, 22220.953125)]","[(0, 23305.3125), (1, 26047.19921875)]","[(0, 25373.666015625), (1, 24299.228515625)]"
2,"[(0, 17495.634765625), (1, 20233.623046875)]","[(0, 17918.75), (1, 19302.53125)]","[(0, 21096.962890625), (1, 18716.48828125)]","[(0, 19322.14453125), (1, 20325.23828125)]","[(0, 19079.0859375), (1, 17100.197265625)]","[(0, 22565.48046875), (1, 21694.759765625)]","[(0, 22013.111328125), (1, 24401.40625)]","[(0, 23876.8046875), (1, 24843.435546875)]","[(0, 25178.392578125), (1, 26541.765625)]","[(0, 23830.94140625), (1, 26164.9609375)]","[(0, 19889.82421875), (1, 19550.0390625)]","[(0, 16579.67578125), (1, 17277.728515625)]","[(0, 27728.498046875), (1, 26694.455078125)]","[(0, 20870.076171875), (1, 18642.16796875)]","[(0, 28735.1328125), (1, 25562.552734375)]","[(0, 25593.1171875), (1, 25659.640625)]","[(0, 21938.814453125), (1, 20597.40625)]","[(0, 18554.76171875), (1, 19050.431640625)]","[(0, 23766.712890625), (1, 21665.732421875)]","[(0, 27481.955078125), (1, 27133.97265625)]","[(0, 27332.630859375), (1, 23754.08984375)]","[(0, 24112.751953125), (1, 22363.923828125)]","[(0, 22289.31640625), (1, 21711.712890625)]"
3,"[(0, 20784.01171875), (1, 21624.6953125)]","[(0, 20950.859375), (1, 21249.69921875)]","[(0, 20284.998046875), (1, 18014.82421875)]","[(0, 21921.49609375), (1, 22637.36328125)]","[(0, 25649.14453125), (1, 22007.421875)]","[(0, 22412.689453125), (1, 21444.87109375)]","[(0, 25486.533203125), (1, 22744.71875)]","[(0, 23482.87890625), (1, 27686.64453125)]","[(0, 18706.9765625), (1, 22538.53125)]","[(0, 18571.75390625), (1, 18877.140625)]","[(0, 27113.3828125), (1, 26692.646484375)]","[(0, 24490.275390625), (1, 19163.224609375)]","[(0, 21105.87890625), (1, 20140.408203125)]","[(0, 14325.37890625), (1, 16282.51953125)]","[(0, 31044.853515625), (1, 27453.1640625)]","[(0, 21382.974609375), (1, 22591.341796875)]","[(0, 21059.453125), (1, 20110.619140625)]","[(0, 18366.83984375), (1, 20290.783203125)]","[(0, 20438.34375), (1, 18864.111328125)]","[(0, 23194.822265625), (1, 28885.53515625)]","[(0, 37262.3125), (1, 32367.14453125)]","[(0, 25999.498046875), (1, 24952.51953125)]","[(0, 19205.302734375), (1, 18363.337890625)]"
4,"[(0, 21122.953125), (1, 20937.876953125)]","[(0, 17703.708984375), (1, 16531.50390625)]","[(0, 17286.677734375), (1, 19965.0234375)]","[(0, 21450.62109375), (1, 21994.330078125)]","[(0, 22860.998046875), (1, 20607.681640625)]","[(0, 24227.056640625), (1, 24234.890625)]","[(0, 18030.240234375), (1, 18664.689453125)]","[(0, 25284.048828125), (1, 22429.5390625)]","[(0, 25479.4375), (1, 22523.318359375)]","[(0, 24501.81640625), (1, 19889.595703125)]","[(0, 17584.810546875), (1, 16403.23046875)]","[(0, 20397.880859375), (1, 18848.287109375)]","[(0, 18680.626953125), (1, 21292.6015625)]","[(0, 16112.35546875), (1, 19564.25)]","[(0, 24601.771484375), (1, 20026.88671875)]","[(0, 20000.451171875), (1, 20392.4140625)]","[(0, 22906.892578125), (1, 19308.052734375)]","[(0, 20392.435546875), (1, 19593.734375)]","[(0, 20855.609375), (1, 19405.7265625)]","[(0, 30590.900390625), (1, 21425.57421875)]","[(0, 30977.689453125), (1, 27435.5234375)]","[(0, 25356.22265625), (1, 22903.310546875)]","[(0, 23687.537109375), (1, 20973.630859375)]"
5,"[(0, 19717.90234375), (1, 22117.736328125)]","[(0, 20950.30078125), (1, 20090.03125)]","[(0, 17598.21484375), (1, 20394.087890625)]","[(0, 22837.02734375), (1, 22929.64453125)]","[(0, 27705.263671875), (1, 21689.115234375)]","[(0, 23310.98046875), (1, 21896.380859375)]","[(0, 16129.1904296875), (1, 15362.64453125)]","[(0, 20243.58203125), (1, 22735.892578125)]","[(0, 22234.37109375), (1, 20235.82421875)]","[(0, 22480.806640625), (1, 23062.37109375)]","[(0, 20500.048828125), (1, 17936.205078125)]","[(0, 20086.736328125), (1, 16468.640625)]","[(0, 18697.345703125), (1, 19489.259765625)]","[(0, 20311.111328125), (1, 21797.10546875)]","[(0, 22722.951171875), (1, 18802.34375)]","[(0, 19684.796875), (1, 19011.01171875)]","[(0, 22296.310546875), (1, 18833.875)]","[(0, 15799.4189453125), (1, 15790.140625)]","[(0, 20583.583984375), (1, 18817.646484375)]","[(0, 25799.77734375), (1, 22760.75390625)]","[(0, 29421.251953125), (1, 25666.029296875)]","[(0, 27510.14453125), (1, 25334.421875)]","[(0, 15270.0966796875), (1, 16546.298828125)]"
6,"[(0, 19949.759765625), (1, 21937.580078125)]","[(0, 20770.005859375), (1, 19653.48828125)]","[(0, 19550.859375), (1, 22053.119140625)]","[(0, 23188.583984375), (1, 24476.662109375)]","[(0, 13772.876953125), (1, 14375.60546875)]","[(0, 19435.13671875), (1, 18400.5546875)]","[(0, 22113.244140625), (1, 23907.951171875)]","[(0, 20268.966796875), (1, 21993.783203125)]","[(0, 22154.21484375), (1, 25641.611328125)]","[(0, 20894.591796875), (1, 25083.146484375)]","[(0, 18337.490234375), (1, 16937.599609375)]","[(0, 24078.09765625), (1, 21871.546875)]","[(0, 16832.19140625), (1, 17267.580078125)]","[(0, 21192.345703125), (1, 21576.634765625)]","[(0, 21458.599609375), (1, 17914.05078125)]","[(0, 35978.9140625), (1, 29338.7109375)]","[(0, 21399.109375), (1, 19434.302734375)]","[(0, 19330.880859375), (1, 17396.2421875)]","[(0, 25098.03125), (1, 21142.080078125)]","[(0, 21612.408203125), (1, 24017.255859375)]","[(0, 20632.0078125), (1, 18920.359375)]","[(0, 22590.45703125), (1, 19860.16015625)]","[(0, 24135.044921875), (1, 24386.076171875)]"
7,"[(0, 27601.251953125), (1, 29206.302734375)]","[(0, 24155.123046875), (1, 24158.39453125)]","[(0, 19658.232421875), (1, 22084.5390625)]","[(0, 23120.81640625), (1, 21900.142578125)]","[(0, 20855.3515625), (1, 24634.03125)]","[(0, 15243.0185546875), (1, 13264.2333984375)]","[(0, 21449.310546875), (1, 19513.083984375)]","[(0, 22436.470703125), (1, 15759.66015625)]","[(0, 15971.607421875), (1, 16006.708984375)]","[(0, 30179.73828125), (1, 29598.326171875)]","[(0, 21281.619140625), (1, 20441.873046875)]","[(0, 25208.568359375), (1, 23570.3828125)]","[(0, 18849.005859375), (1, 18069.5390625)]","[(0, 15446.3984375), (1, 18004.876953125)]","[(0, 22381.2265625), (1, 17976.876953125)]","[(0, 29511.9921875), (1, 38245.0078125)]","[(0, 18674.03515625), (1, 16720.599609375)]","[(0, 22433.796875), (1, 22796.40234375)]","[(0, 19889.123046875), (1, 18208.447265625)]","[(0, 26499.52734375), (1, 28854.146484375)]","[(0, 21312.41015625), (1, 20383.822265625)]","[(0, 22778.646484375), (1, 21857.638671875)]","[(0, 26502.7109375), (1, 23197.27734375)]"
8,"[(0, 18518.609375), (1, 18268.9765625)]","[(0, 20945.705078125), (1, 20296.0078125)]","[(0, 21491.6953125), (1, 26094.0390625)]","[(0, 17870.19921875), (1, 16416.015625)]","[(0, 15079.1884765625), (1, 16881.16015625)]","[(0, 20795.53125), (1, 17650.134765625)]","[(0, 20324.927734375), (1, 19940.115234375)]","[(0, 23117.353515625), (1, 24195.861328125)]","[(0, 26224.490234375), (1, 25886.408203125)]","[(0, 16534.34375), (1, 16580.623046875)]","[(0, 20850.71875), (1, 21958.9921875)]","[(0, 20412.728515625), (1, 23335.001953125)]","[(0, 24905.3046875), (1, 25471.56640625)]","[(0, 21483.990234375), (1, 23717.962890625)]","[(0, 29475.763671875), (1, 25486.072265625)]","[(0, 21650.138671875), (1, 19283.818359375)]","[(0, 21246.193359375), (1, 21681.255859375)]","[(0, 20215.435546875), (1, 19119.44921875)]","[(0, 23889.923828125), (1, 25026.255859375)]","[(0, 21312.9375), (1, 16832.482421875)]","[(0, 25133.55078125), (1, 22330.998046875)]","[(0, 23068.880859375), (1, 23729.1171875)]","[(0, 19047.216796875), (1, 18698.236328125)]"
9,"[(0, 27491.7578125), (1, 22755.654296875)]","[(0, 26192.498046875), (1, 22176.47265625)]","[(0, 23431.6953125), (1, 27487.197265625)]","[(0, 19899.859375), (1, 18730.09375)]","[(0, 18146.23046875), (1, 21298.939453125)]","[(0, 24091.71875), (1, 23365.77734375)]","[(0, 16395.630859375), (1, 16711.6875)]","[(0, 25363.865234375), (1, 26508.423828125)]","[(0, 23912.55859375), (1, 26055.1484375)]","[(0, 17805.1484375), (1, 18900.44921875)]","[(0, 19203.068359375), (1, 20336.212890625)]","[(0, 20454.451171875), (1, 21285.53515625)]","[(0, 23157.712890625), (1, 23465.6640625)]","[(0, 20117.755859375), (1, 21466.541015625)]","[(0, 25340.291015625), (1, 23223.44140625)]","[(0, 19072.501953125), (1, 19838.65625)]","[(0, 20044.40625), (1, 19929.962890625)]","[(0, 20381.779296875), (1, 23629.39453125)]","[(0, 19367.76953125), (1, 19754.43359375)]","[(0, 28213.73828125), (1, 25075.63671875)]","[(0, 20326.556640625), (1, 18035.416015625)]","[(0, 22577.490234375), (1, 22563.736328125)]","[(0, 27434.662109375), (1, 26118.439453125)]"
10,"[(0, 23362.880859375), (1, 20678.259765625)]","[(0, 20626.951171875), (1, 21232.255859375)]","[(0, 21544.373046875), (1, 25620.884765625)]","[(0, 19778.072265625), (1, 19555.94921875)]","[(0, 17922.373046875), (1, 20215.22265625)]","[(0, 20510.748046875), (1, 19405.44921875)]","[(0, 16856.8203125), (1, 15804.6640625)]","[(0, 19126.833984375), (1, 23568.943359375)]","[(0, 25760.857421875), (1, 17114.228515625)]","[(0, 20173.451171875), (1, 24184.189453125)]","[(0, 18943.724609375), (1, 18614.630859375)]","[(0, 21812.03515625), (1, 26180.109375)]","[(0, 20410.9765625), (1, 23104.0859375)]","[(0, 17423.720703125), (1, 16441.1953125)]","[(0, 31848.11328125), (1, 30079.201171875)]","[(0, 25226.84375), (1, 26868.462890625)]","[(0, 20595.12890625), (1, 18810.685546875)]","[(0, 18108.318359375), (1, 17650.82421875)]","[(0, 24256.32421875), (1, 22696.37890625)]","[(0, 23048.123046875), (1, 18160.064453125)]","[(0, 28040.5078125), (1, 25882.751953125)]","[(0, 16776.919921875), (1, 18393.080078125)]","[(0, 18020.974609375), (1, 15863.6923828125)]"
11,"[(0, 22182.712890625), (1, 20706.953125)]","[(0, 23937.337890625), (1, 22717.9453125)]","[(0, 22640.47265625), (1, 26209.388671875)]","[(0, 19235.14453125), (1, 19186.556640625)]","[(0, 18135.296875), (1, 22631.81640625)]","[(0, 22125.015625), (1, 21956.08203125)]","[(0, 17542.818359375), (1, 17538.634765625)]","[(0, 23815.0390625), (1, 23857.708984375)]","[(0, 21147.443359375), (1, 14829.5888671875)]","[(0, 25483.1796875), (1, 27422.02734375)]","[(0, 18025.375), (1, 19222.0703125)]","[(0, 18055.912109375), (1, 21563.77734375)]","[(0, 18535.74609375), (1, 21707.90234375)]","[(0, 17028.705078125), (1, 15695.4501953125)]","[(0, 28572.37890625), (1, 26676.15625)]","[(0, 28327.595703125), (1, 28276.609375)]","[(0, 20240.283203125), (1, 18636.763671875)]","[(0, 19201.51171875), (1, 18821.109375)]","[(0, 17519.09375), (1, 18725.25390625)]","[(0, 24130.119140625), (1, 17959.896484375)]","[(0, 34062.49609375), (1, 30422.537109375)]","[(0, 25406.765625), (1, 26848.919921875)]","[(0, 22105.6953125), (1, 22535.0703125)]"
12,"[(0, 19101.861328125), (1, 19110.97265625)]","[(0, 21879.099609375), (1, 20458.080078125)]","[(0, 23337.6484375), (1, 19220.841796875)]","[(0, 19577.427734375), (1, 20095.857421875)]","[(0, 21087.408203125), (1, 18421.396484375)]","[(0, 20932.166015625), (1, 19464.6484375)]","[(0, 20069.791015625), (1, 20316.595703125)]","[(0, 23211.57421875), (1, 26353.60546875)]","[(0, 21890.140625), (1, 20231.25)]","[(0, 20597.40625), (1, 23413.66796875)]","[(0, 21069.578125), (1, 20813.46875)]","[(0, 25192.5390625), (1, 26702.244140625)]","[(0, 20587.056640625), (1, 19940.458984375)]","[(0, 21839.615234375), (1, 25216.646484375)]","[(0, 27445.181640625), (1, 25263.537109375)]","[(0, 15095.634765625), (1, 16097.3037109375)]","[(0, 21788.8125), (1, 21992.1484375)]","[(0, 18807.34765625), (1, 18740.064453125)]","[(0, 18827.16015625), (1, 17194.486328125)]","[(0, 21997.5390625), (1, 19093.919921875)]","[(0, 30122.318359375), (1, 27609.228515625)]","[(0, 27992.494140625), (1, 27985.39453125)]","[(0, 20197.552734375), (1, 20822.779296875)]"
13,"[(0, 25800.29296875), (1, 21800.703125)]","[(0, 24411.576171875), (1, 25737.380859375)]","[(0, 25150.79296875), (1, 21423.205078125)]","[(0, 21867.814453125), (1, 21206.01171875)]","[(0, 14833.81640625), (1, 17082.0234375)]","[(0, 19118.080078125), (1, 17681.099609375)]","[(0, 18683.923828125), (1, 17690.52734375)]","[(0, 25377.48828125), (1, 19929.35546875)]","[(0, 21935.84375), (1, 19906.80859375)]","[(0, 16304.83203125), (1, 14739.4912109375)]","[(0, 19992.974609375), (1, 19709.66796875)]","[(0, 22540.9375), (1, 23675.703125)]","[(0, 20301.81640625), (1, 19927.33984375)]","[(0, 16737.287109375), (1, 19534.775390625)]","[(0, 23670.78125), (1, 21369.580078125)]","[(0, 17519.34375), (1, 15935.76171875)]","[(0, 20424.685546875), (1, 20295.29296875)]","[(0, 20871.5078125), (1, 19706.095703125)]","[(0, 17829.87109375), (1, 18400.625)]","[(0, 22170.298828125), (1, 18719.55859375)]","[(0, 30421.548828125), (1, 27942.564453125)]","[(0, 29316.55859375), (1, 29904.5)]","[(0, 23712.896484375), (1, 23882.064453125)]"
14,"[(0, 26183.830078125), (1, 22923.0859375)]","[(0, 23026.26171875), (1, 23977.982421875)]","[(0, 27469.90234375), (1, 23538.775390625)]","[(0, 26521.599609375), (1, 26062.703125)]","[(0, 18277.517578125), (1, 19541.650390625)]","[(0, 14171.6142578125), (1, 16648.05859375)]","[(0, 20742.369140625), (1, 21002.65234375)]","[(0, 19142.072265625), (1, 22327.056640625)]","[(0, 22281.048828125), (1, 22599.6171875)]","[(0, 22455.88671875), (1, 28947.11328125)]","[(0, 20047.103515625), (1, 20443.1015625)]","[(0, 25520.92578125), (1, 21470.513671875)]","[(0, 19194.427734375), (1, 17997.58203125)]","[(0, 21166.732421875), (1, 21126.4609375)]","[(0, 29294.58984375), (1, 26531.365234375)]","[(0, 19179.07421875), (1, 16158.072265625)]","[(0, 27825.90625), (1, 28546.1484375)]","[(0, 13750.802734375), (1, 16820.3828125)]","[(0, 16509.65234375), (1, 16927.9921875)]","[(0, 26712.5859375), (1, 21232.541015625)]","[(0, 26580.724609375), (1, 23671.388671875)]","[(0, 26312.669921875), (1, 24423.244140625)]","[(0, 19670.77734375), (1, 19344.767578125)]"
15,"[(0, 22637.6015625), (1, 20922.607421875)]","[(0, 25734.828125), (1, 29284.060546875)]","[(0, 28932.6796875), (1, 25513.943359375)]","[(0, 20180.955078125), (1, 19234.66796875)]","[(0, 23130.498046875), (1, 23678.25390625)]","[(0, 17552.55859375), (1, 21079.94921875)]","[(0, 18808.962890625), (1, 18502.6328125)]","[(0, 26762.97265625), (1, 24867.474609375)]","[(0, 20455.19140625), (1, 18283.705078125)]","[(0, 16827.37890625), (1, 25502.265625)]","[(0, 18962.466796875), (1, 20465.220703125)]","[(0, 23235.29296875), (1, 19578.697265625)]","[(0, 19347.923828125), (1, 17245.873046875)]","[(0, 15738.2724609375), (1, 19049.7578125)]","[(0, 27634.203125), (1, 25158.923828125)]","[(0, 17529.287109375), (1, 20189.001953125)]","[(0, 27148.93359375), (1, 27059.13671875)]","[(0, 13670.427734375), (1, 16032.2373046875)]","[(0, 12733.3359375), (1, 10028.5283203125)]","[(0, 22573.357421875), (1, 22380.39453125)]","[(0, 28262.048828125), (1, 26549.740234375)]","[(0, 29915.96484375), (1, 26657.337890625)]","[(0, 22463.619140625), (1, 21535.869140625)]"
16,"[(0, 20665.859375), (1, 19299.677734375)]","[(0, 15571.76171875), (1, 17283.447265625)]","[(0, 25559.384765625), (1, 22499.05859375)]","[(0, 22306.4765625), (1, 21788.791015625)]","[(0, 17433.14453125), (1, 18815.205078125)]","[(0, 23021.541015625), (1, 24632.103515625)]","[(0, 18897.45703125), (1, 18322.666015625)]","[(0, 16571.9140625), (1, 17527.1484375)]","[(0, 24027.794921875), (1, 16876.765625)]","[(0, 21570.83203125), (1, 24710.642578125)]","[(0, 21073.576171875), (1, 22545.904296875)]","[(0, 22087.595703125), (1, 21403.45703125)]","[(0, 22613.26171875), (1, 23059.951171875)]","[(0, 17226.953125), (1, 16359.51953125)]","[(0, 28234.25), (1, 23049.59375)]","[(0, 21202.67578125), (1, 18536.560546875)]","[(0, 22328.037109375), (1, 25231.103515625)]","[(0, 14204.5205078125), (1, 18260.373046875)]","[(0, 28284.916015625), (1, 25912.513671875)]","[(0, 15409.3359375), (1, 13571.8857421875)]","[(0, 25682.458984375), (1, 22120.18359375)]","[(0, 20590.650390625), (1, 20934.263671875)]","[(0, 31944.4765625), (1, 28211.208984375)]"
17,"[(0, 24438.947265625), (1, 27141.0390625)]","[(0, 18598.962890625), (1, 19338.7734375)]","[(0, 27029.16796875), (1, 24574.359375)]","[(0, 23358.26953125), (1, 23933.2734375)]","[(0, 23186.44140625), (1, 23077.68359375)]","[(0, 14059.7607421875), (1, 14907.8466796875)]","[(0, 19736.9609375), (1, 20026.962890625)]","[(0, 21594.56640625), (1, 21474.466796875)]","[(0, 20861.33984375), (1, 19994.5390625)]","[(0, 25939.88671875), (1, 24696.7890625)]","[(0, 21540.83984375), (1, 22850.185546875)]","[(0, 25006.71484375), (1, 20817.001953125)]","[(0, 22423.72265625), (1, 22462.99609375)]","[(0, 12122.1435546875), (1, 13311.640625)]","[(0, 20988.876953125), (1, 18037.326171875)]","[(0, 20778.185546875), (1, 23233.7421875)]","[(0, 18788.86328125), (1, 20682.755859375)]","[(0, 16337.9873046875), (1, 17667.37890625)]","[(0, 21246.232421875), (1, 22209.703125)]","[(0, 21453.66796875), (1, 22712.5078125)]","[(0, 28642.767578125), (1, 24498.544921875)]","[(0, 30864.158203125), (1, 30417.57421875)]","[(0, 24300.6640625), (1, 22632.248046875)]"
18,"[(0, 25406.013671875), (1, 24828.46875)]","[(0, 16325.3251953125), (1, 17768.830078125)]","[(0, 24624.80078125), (1, 22167.27734375)]","[(0, 22620.919921875), (1, 23388.76171875)]","[(0, 21313.01953125), (1, 21788.603515625)]","[(0, 16962.916015625), (1, 16931.916015625)]","[(0, 16004.2978515625), (1, 15218.7763671875)]","[(0, 22645.50390625), (1, 24217.5625)]","[(0, 24247.396484375), (1, 20789.24609375)]","[(0, 22944.193359375), (1, 19627.865234375)]","[(0, 18043.7265625), (1, 16539.94140625)]","[(0, 20528.4375), (1, 19540.8671875)]","[(0, 17114.162109375), (1, 19197.90625)]","[(0, 20926.537109375), (1, 20196.705078125)]","[(0, 25324.662109375), (1, 21112.3203125)]","[(0, 24183.474609375), (1, 23932.955078125)]","[(0, 21673.048828125), (1, 19496.2109375)]","[(0, 19774.43359375), (1, 18200.1484375)]","[(0, 23700.4609375), (1, 22931.416015625)]","[(0, 19038.552734375), (1, 14986.6904296875)]","[(0, 20340.828125), (1, 18322.927734375)]","[(0, 18475.708984375), (1, 18629.94140625)]","[(0, 18531.099609375), (1, 17193.75)]"
