,best
adjunct_island,0.45
adv_order,0.263
wh_vs_that_with_gap,0.739
anaphor_gender_agreement,0.516
anaphor_number_agreement,0.435
recursion_pp_verb_long,0.0
center_embedding_double_1,0.565
recursion_pp_verb_medium,0.001
center_embedding_double_2,0.838
recursion_pp_verb_short,0.505
center_embedding_single_1,0.234
subj_aux_vary_verb_rc,0.468
center_embedding_single_2,0.755
complex_np_island,0.403
recursion_poss_transitive_medium,0.372
coordinate_structure_constrain_object_extraction,0.439
subj_aux_vary_verb_pp,0.478
determiner_noun_agreement_1,0.477
subj_verb_vary_verb,0.529
determiner_noun_agreement_2,0.494
svo_vos,0.444
determiner_noun_agreement_adj_1,0.479
swapped_ditransitive_1,0.53
determiner_noun_agreement_adj_2,0.492
ellipsis,0.315
green_ideas,0.503
intransitive,0.462
recursion_poss_transitive_short,0.247
left_branch_island_simple_question,0.499
recursion_pp_is_long,0.765
matrix_question_npi_licensor_present,0.438
npi_present,0.421
swapped_ditransitive_2,0.469
only_npi_licensor_present,1.0
only_npi_scope,0.812
pp_order,0.273
principle_A_c_command,0.466
principle_A_domain_1,0.752
principle_A_domain_2,0.529
principle_A_domain_3,0.494
transitive,0.576
recursion_intensifier_adj_long,0.496
wh_island,0.7
recursion_intensifier_adj_medium,0.355
wh_questions_object_gap,0.4
recursion_intensifier_adj_short,0.112
wh_vs_that_with_gap_long_distance,0.688
recursion_intensifier_adv_long,0.502
wh_questions_object_gap_long_distance,0.407
recursion_intensifier_adv_medium,0.669
wh_questions_subject_gap,0.561
recursion_intensifier_adv_short,0.899
wh_questions_subject_gap_long_distance,0.588
recursion_poss_ditransitive_long,0.558
recursion_pp_is_medium,0.655
recursion_poss_ditransitive_medium,0.609
recursion_pp_is_short,0.601
recursion_poss_ditransitive_short,0.693
wh_vs_that_no_gap,0.721
recursion_poss_transitive_long,0.365
subj_aux_agreement_question_vary_subj,0.473
sentential_negation_npi_licensor_present,0.742
wh_vs_that_no_gap_long_distance,0.809
sentential_negation_npi_scope,0.319
subj_aux_vary_subj,0.517
subj_aux_agreement_question_vary_aux,0.58
subj_aux_vary_verb,0.526
