,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 5.369099299112956), (1, 5.407883326212565)]","[(0, 5.997414271036784), (1, 5.81565793355306)]","[(0, 6.371371746063232), (1, 6.335955619812012)]","[(0, 6.461767673492432), (1, 6.328133583068848)]","[(0, 5.62326176961263), (1, 5.497948964436849)]","[(0, 5.164389801025391), (1, 4.6464088439941404)]","[(0, 6.0800830841064455), (1, 6.0302680969238285)]","[(0, 6.88685417175293), (1, 6.426540374755859)]","[(0, 6.797174181256976), (1, 6.452017102922712)]","[(0, 6.118160247802734), (1, 6.043597221374512)]","[(0, 6.947504997253418), (1, 7.1379923820495605)]","[(0, 7.074419294084821), (1, 6.309198651994977)]","[(0, 7.736056518554688), (1, 7.792607116699219)]","[(0, 6.852113342285156), (1, 6.67684326171875)]","[(0, 6.764582739935981), (1, 6.439009348551433)]","[(0, 7.3796844482421875), (1, 7.311839294433594)]","[(0, 6.975030687120226), (1, 7.034581926133898)]","[(0, 6.748889923095703), (1, 6.762628555297852)]","[(0, 6.627227238246372), (1, 6.706247057233538)]","[(0, 6.406654357910156), (1, 6.487977769639757)]","[(0, 7.2471923828125), (1, 7.322995322091239)]","[(0, 6.438122272491455), (1, 6.330674648284912)]","[(0, 6.985085805257161), (1, 6.979482014973958)]"
1,"[(0, 5.759054183959961), (1, 5.893815358479817)]","[(0, 5.824283599853516), (1, 5.6710662841796875)]","[(0, 6.3334174156188965), (1, 6.269016265869141)]","[(0, 5.999475955963135), (1, 5.845104694366455)]","[(0, 6.060462315877278), (1, 6.061391194661458)]","[(0, 5.534270477294922), (1, 5.2347160339355465)]","[(0, 5.708518346150716), (1, 5.824282328287761)]","[(0, 6.146478017171224), (1, 5.1820424397786455)]","[(0, 6.409950256347656), (1, 6.047601972307477)]","[(0, 5.91016960144043), (1, 5.921655654907227)]","[(0, 7.255653381347656), (1, 7.479068332248264)]","[(0, 6.607002258300781), (1, 5.869131360735212)]","[(0, 8.017649563876065), (1, 8.002761840820312)]","[(0, 6.653674655490452), (1, 6.588239457872179)]","[(0, 6.963375939263238), (1, 6.762445661756727)]","[(0, 7.12677626176314), (1, 7.192901611328125)]","[(0, 6.875283983018663), (1, 6.944675445556641)]","[(0, 6.538764476776123), (1, 6.639119625091553)]","[(0, 6.238628768920899), (1, 6.128437042236328)]","[(0, 6.143754959106445), (1, 6.458471775054932)]","[(0, 6.593804359436035), (1, 6.677929878234863)]","[(0, 6.464071273803711), (1, 6.2414140701293945)]","[(0, 7.337520175509983), (1, 7.244948493109809)]"
2,"[(0, 6.059163774762835), (1, 6.11676025390625)]","[(0, 5.973004659016927), (1, 5.773258209228516)]","[(0, 6.3776655197143555), (1, 6.3179931640625)]","[(0, 6.278724193572998), (1, 6.1651291847229)]","[(0, 6.344538688659668), (1, 6.195520877838135)]","[(0, 6.001996358235677), (1, 5.868162790934245)]","[(0, 5.345314025878906), (1, 5.257567723592122)]","[(0, 6.374697367350261), (1, 6.227349599202474)]","[(0, 7.181092398507254), (1, 6.3960369655064175)]","[(0, 5.890061378479004), (1, 6.493915557861328)]","[(0, 7.103119850158691), (1, 6.99321174621582)]","[(0, 6.6793381827218195), (1, 6.332611628941128)]","[(0, 7.665775645862926), (1, 7.753650318492543)]","[(0, 6.971791354092685), (1, 6.744171142578125)]","[(0, 6.634108109907671), (1, 6.318401683460582)]","[(0, 7.051573011610243), (1, 6.714068094889323)]","[(0, 7.176544189453125), (1, 7.139227125379774)]","[(0, 6.525365829467773), (1, 6.5662736892700195)]","[(0, 6.716729300362723), (1, 6.785935538155692)]","[(0, 6.487927754720052), (1, 6.1177628835042315)]","[(0, 7.0475945472717285), (1, 7.181765079498291)]","[(0, 6.654312981499566), (1, 6.621968163384332)]","[(0, 6.976814270019531), (1, 7.239701588948567)]"
3,"[(0, 5.949249267578125), (1, 5.997403462727864)]","[(0, 5.784563064575195), (1, 5.608442942301433)]","[(0, 6.399507999420166), (1, 6.31782341003418)]","[(0, 6.355216026306152), (1, 6.230523109436035)]","[(0, 6.936107090541294), (1, 6.805391039167132)]","[(0, 6.412567774454753), (1, 5.954148610432942)]","[(0, 5.834642682756696), (1, 5.813511439732143)]","[(0, 6.765520095825195), (1, 6.147683461507161)]","[(0, 6.810227530343192), (1, 6.204011099679129)]","[(0, 5.943260192871094), (1, 5.757415771484375)]","[(0, 7.401974995930989), (1, 7.328238593207465)]","[(0, 6.773435320172991), (1, 6.403802054268973)]","[(0, 7.725676103071733), (1, 7.808533408425071)]","[(0, 7.083214569091797), (1, 6.869296264648438)]","[(0, 6.840648997913707), (1, 6.541689786044034)]","[(0, 6.773434448242187), (1, 7.068423461914063)]","[(0, 7.131524827745226), (1, 7.070441351996528)]","[(0, 6.725890159606934), (1, 6.778518199920654)]","[(0, 5.878440856933594), (1, 5.362789535522461)]","[(0, 6.2880808512369795), (1, 6.24388427734375)]","[(0, 6.970019022623698), (1, 7.15638902452257)]","[(0, 6.826265970865886), (1, 6.732345157199436)]","[(0, 7.187613805135091), (1, 7.453356424967448)]"
4,"[(0, 5.205420811971028), (1, 5.273245811462402)]","[(0, 5.792144139607747), (1, 5.941460927327474)]","[(0, 6.285127639770508), (1, 6.338146686553955)]","[(0, 6.33155632019043), (1, 6.208240032196045)]","[(0, 6.37104252406529), (1, 6.211251395089286)]","[(0, 6.291992664337158), (1, 5.846529960632324)]","[(0, 6.8527951921735495), (1, 6.588162558419364)]","[(0, 6.027717590332031), (1, 5.28440539042155)]","[(0, 6.414356231689453), (1, 5.807772500174386)]","[(0, 6.295426940917968), (1, 5.864044952392578)]","[(0, 7.295651245117187), (1, 7.23209228515625)]","[(0, 7.034859793526786), (1, 6.322450910295759)]","[(0, 7.464124043782552), (1, 7.6256103515625)]","[(0, 6.750004577636719), (1, 6.854042053222656)]","[(0, 7.097667694091797), (1, 6.9185791015625)]","[(0, 6.15086909702846), (1, 5.959104265485491)]","[(0, 7.334663391113281), (1, 7.42787848578559)]","[(0, 6.4880494011773004), (1, 6.40785386827257)]","[(0, 6.53858402797154), (1, 6.6374004908970425)]","[(0, 6.302033106486003), (1, 6.167935689290364)]","[(0, 6.61612786187066), (1, 6.910350799560547)]","[(0, 6.859327528211805), (1, 6.657809363471137)]","[(0, 7.1146045260959205), (1, 7.467088487413195)]"
5,"[(0, 5.7936350504557295), (1, 5.918876647949219)]","[(0, 5.653319040934245), (1, 5.774936040242513)]","[(0, 6.276978492736816), (1, 6.3471856117248535)]","[(0, 6.278317928314209), (1, 6.152515411376953)]","[(0, 6.007621765136719), (1, 5.834204355875651)]","[(0, 6.071764264787946), (1, 5.633189610072544)]","[(0, 6.2146897315979), (1, 6.567030429840088)]","[(0, 6.34623654683431), (1, 6.038597742716472)]","[(0, 7.003235953194754), (1, 6.651526314871652)]","[(0, 6.257952690124512), (1, 5.864229202270508)]","[(0, 6.828999042510986), (1, 6.731838226318359)]","[(0, 6.44743892124721), (1, 6.158591679164341)]","[(0, 7.48375840620561), (1, 7.643295981667259)]","[(0, 6.911600748697917), (1, 6.861520555284288)]","[(0, 6.986671447753906), (1, 6.89022216796875)]","[(0, 5.994570732116699), (1, 6.114213466644287)]","[(0, 7.0767088996039496), (1, 7.218021816677517)]","[(0, 6.644604206085205), (1, 6.419034957885742)]","[(0, 6.210631561279297), (1, 5.925066375732422)]","[(0, 6.485660008021763), (1, 6.242818450927734)]","[(0, 6.475251091851129), (1, 6.850887298583984)]","[(0, 6.807696024576823), (1, 6.569606357150608)]","[(0, 6.742059071858724), (1, 6.759819030761719)]"
6,"[(0, 5.97954341343471), (1, 6.024762289864676)]","[(0, 5.805739084879558), (1, 6.0211435953776045)]","[(0, 6.423490524291992), (1, 6.459667205810547)]","[(0, 6.258028507232666), (1, 6.107071876525879)]","[(0, 5.184797922770183), (1, 5.321664810180664)]","[(0, 6.281169346400669), (1, 5.854705265590122)]","[(0, 6.8817596435546875), (1, 6.561309814453125)]","[(0, 6.720534642537435), (1, 6.012935638427734)]","[(0, 6.609043121337891), (1, 6.294399261474609)]","[(0, 5.559625625610352), (1, 5.982541084289551)]","[(0, 7.219647216796875), (1, 7.156793212890625)]","[(0, 6.801668984549386), (1, 6.397164481026786)]","[(0, 7.489949798583984), (1, 7.224758911132812)]","[(0, 6.965392372824929), (1, 6.826101129705256)]","[(0, 7.123080444335938), (1, 6.942808532714844)]","[(0, 7.08515739440918), (1, 7.054795265197754)]","[(0, 6.7855042351616754), (1, 6.789879269070095)]","[(0, 6.354249000549316), (1, 6.404198169708252)]","[(0, 5.927584838867188), (1, 5.644725799560547)]","[(0, 6.127590815226237), (1, 5.9207305908203125)]","[(0, 6.540892124176025), (1, 6.60884952545166)]","[(0, 6.883005142211914), (1, 6.62111234664917)]","[(0, 7.026443905300564), (1, 7.047295464409722)]"
7,"[(0, 5.739512125651042), (1, 5.838624954223633)]","[(0, 5.697409311930339), (1, 5.868075052897136)]","[(0, 6.414803504943848), (1, 6.472918510437012)]","[(0, 6.178658485412598), (1, 6.313093185424805)]","[(0, 5.658266703287761), (1, 5.696844736735026)]","[(0, 5.022386169433593), (1, 4.516386413574219)]","[(0, 6.4223456382751465), (1, 6.730116844177246)]","[(0, 6.3566239674886065), (1, 4.962340354919434)]","[(0, 6.825448717389788), (1, 6.132686070033482)]","[(0, 5.148955821990967), (1, 5.690124988555908)]","[(0, 6.665661811828613), (1, 6.611944198608398)]","[(0, 6.955345153808594), (1, 6.136445181710379)]","[(0, 7.633846629749645), (1, 7.435759110884233)]","[(0, 7.361336517333984), (1, 7.142914581298828)]","[(0, 7.144928741455078), (1, 6.931968688964844)]","[(0, 7.099523332383898), (1, 7.075263129340278)]","[(0, 6.7766613430447045), (1, 6.746785057915582)]","[(0, 6.218694686889648), (1, 6.464069366455078)]","[(0, 5.664488220214844), (1, 5.097203063964844)]","[(0, 6.333135604858398), (1, 6.230713272094727)]","[(0, 6.398192511664496), (1, 6.548997243245442)]","[(0, 6.49722957611084), (1, 6.1994218826293945)]","[(0, 7.330601162380642), (1, 7.736624823676215)]"
8,"[(0, 5.626731236775716), (1, 5.599466959635417)]","[(0, 6.103769938151042), (1, 6.2212575276692705)]","[(0, 6.785980224609375), (1, 6.612761497497559)]","[(0, 5.64195442199707), (1, 5.7947468757629395)]","[(0, 5.968466758728027), (1, 6.1371941566467285)]","[(0, 5.310298156738281), (1, 4.993968963623047)]","[(0, 6.1101837158203125), (1, 6.120362599690755)]","[(0, 6.593450546264648), (1, 6.34072748819987)]","[(0, 6.223223005022321), (1, 5.771293640136719)]","[(0, 5.543600463867188), (1, 5.62089729309082)]","[(0, 6.737758289683949), (1, 6.88391806862571)]","[(0, 6.544736044747489), (1, 5.937134878976004)]","[(0, 8.223427512428977), (1, 8.085345875133168)]","[(0, 6.867650812322443), (1, 6.713055003773082)]","[(0, 6.725870768229167), (1, 6.538211398654514)]","[(0, 7.2429929460797995), (1, 7.16376713344029)]","[(0, 7.0226317511664496), (1, 7.029262118869358)]","[(0, 6.326484203338623), (1, 6.371636390686035)]","[(0, 6.492436408996582), (1, 6.550065994262695)]","[(0, 6.902641773223877), (1, 6.416553497314453)]","[(0, 6.446649339463976), (1, 6.571974860297309)]","[(0, 6.316040515899658), (1, 6.315932273864746)]","[(0, 6.833596547444661), (1, 7.086853663126628)]"
9,"[(0, 5.789309819539388), (1, 5.717126210530599)]","[(0, 5.8195451100667315), (1, 5.8776601155598955)]","[(0, 6.710900783538818), (1, 6.565332412719727)]","[(0, 5.974411487579346), (1, 6.085284233093262)]","[(0, 6.522614615304129), (1, 6.654084341866629)]","[(0, 5.820162455240886), (1, 5.629534403483073)]","[(0, 6.397607591417101), (1, 6.360228644476996)]","[(0, 6.978257497151692), (1, 6.115252176920573)]","[(0, 6.468085152762277), (1, 6.1226397923060825)]","[(0, 5.330745220184326), (1, 5.469828128814697)]","[(0, 6.93916130065918), (1, 7.081473668416341)]","[(0, 6.667900630405971), (1, 6.206519535609654)]","[(0, 8.37348660555753), (1, 8.20228299227628)]","[(0, 7.189220428466797), (1, 6.926068115234375)]","[(0, 6.747968461778429), (1, 6.642293294270833)]","[(0, 7.161991596221924), (1, 7.233676910400391)]","[(0, 6.885971917046441), (1, 6.89559809366862)]","[(0, 6.541316986083984), (1, 6.6273274421691895)]","[(0, 6.349724360874721), (1, 6.1417645045689175)]","[(0, 6.741572856903076), (1, 6.358845302036831)]","[(0, 6.398804473876953), (1, 6.578876495361328)]","[(0, 6.292478084564209), (1, 6.328313827514648)]","[(0, 7.023431142171224), (1, 7.034773932562934)]"
