,checkpoint-28000
agreement_determiner_noun-across_1_adjective,0.855
agreement_determiner_noun-between_neighbors,0.847
agreement_subject_verb-across_prepositional_phrase,0.5845
agreement_subject_verb-across_relative_clause,0.62
agreement_subject_verb-in_question_with_aux,0.7255
agreement_subject_verb-in_simple_question,0.785
anaphor_agreement-pronoun_gender,0.757
argument_structure-dropped_argument,0.9005
argument_structure-swapped_arguments,0.9755
argument_structure-transitive,0.7115
binding-principle_a,0.856
case-subjective_pronoun,1.0
ellipsis-n_bar,0.456
filler-gap-wh_question_object,0.927
filler-gap-wh_question_subject,0.944
irregular-verb,0.9345
island-effects-adjunct_island,0.4415
island-effects-coordinate_structure_constraint,0.847
local_attractor-in_question_with_aux,0.9505
npi_licensing-matrix_question,0.5895
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.9765
quantifiers-superlative,0.92
