,best
adjunct_island,0.537
anaphor_gender_agreement,0.399
anaphor_number_agreement,0.521
animate_subject_passive,0.566
animate_subject_trans,0.367
causative,0.455
complex_NP_island,0.536
coordinate_structure_constraint_complex_left_branch,0.498
coordinate_structure_constraint_object_extraction,0.517
determiner_noun_agreement_1,0.495
determiner_noun_agreement_2,0.497
determiner_noun_agreement_irregular_1,0.488
determiner_noun_agreement_irregular_2,0.527
determiner_noun_agreement_with_adj_2,0.475
determiner_noun_agreement_with_adj_irregular_1,0.514
determiner_noun_agreement_with_adj_irregular_2,0.533
determiner_noun_agreement_with_adjective_1,0.523
distractor_agreement_relational_noun,0.491
distractor_agreement_relative_clause,0.52
drop_argument,0.549
ellipsis_n_bar_1,0.233
ellipsis_n_bar_2,0.349
existential_there_object_raising,0.678
existential_there_quantifiers_1,0.733
existential_there_quantifiers_2,0.717
existential_there_subject_raising,0.567
expletive_it_object_raising,0.61
inchoative,0.375
intransitive,0.437
irregular_past_participle_adjectives,0.277
irregular_past_participle_verbs,0.674
irregular_plural_subject_verb_agreement_1,0.52
irregular_plural_subject_verb_agreement_2,0.512
left_branch_island_echo_question,0.749
left_branch_island_simple_question,0.499
matrix_question_npi_licensor_present,0.069
npi_present_1,0.338
npi_present_2,0.351
only_npi_licensor_present,0.226
only_npi_scope,0.206
passive_1,0.648
passive_2,0.61
principle_A_c_command,0.57
principle_A_case_1,1.0
principle_A_case_2,0.455
principle_A_domain_1,0.988
principle_A_domain_2,0.545
principle_A_domain_3,0.521
principle_A_reconstruction,0.416
regular_plural_subject_verb_agreement_1,0.467
regular_plural_subject_verb_agreement_2,0.455
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.386
sentential_subject_island,0.489
superlative_quantifiers_1,0.506
superlative_quantifiers_2,0.268
tough_vs_raising_1,0.479
tough_vs_raising_2,0.572
transitive,0.612
wh_island,0.848
wh_questions_object_gap,0.625
wh_questions_subject_gap,0.947
wh_questions_subject_gap_long_distance,0.889
wh_vs_that_no_gap,0.986
wh_vs_that_no_gap_long_distance,0.99
wh_vs_that_with_gap,0.003
wh_vs_that_with_gap_long_distance,0.015
