,best
adjunct_island,0.503
anaphor_gender_agreement,0.753
anaphor_number_agreement,0.642
animate_subject_passive,0.547
animate_subject_trans,0.487
causative,0.438
complex_NP_island,0.642
coordinate_structure_constraint_complex_left_branch,0.145
coordinate_structure_constraint_object_extraction,0.495
determiner_noun_agreement_1,0.516
determiner_noun_agreement_2,0.514
determiner_noun_agreement_irregular_1,0.488
determiner_noun_agreement_irregular_2,0.482
determiner_noun_agreement_with_adj_2,0.504
determiner_noun_agreement_with_adj_irregular_1,0.531
determiner_noun_agreement_with_adj_irregular_2,0.533
determiner_noun_agreement_with_adjective_1,0.488
distractor_agreement_relational_noun,0.464
distractor_agreement_relative_clause,0.495
drop_argument,0.611
ellipsis_n_bar_1,0.328
ellipsis_n_bar_2,0.51
existential_there_object_raising,0.696
existential_there_quantifiers_1,0.681
existential_there_quantifiers_2,0.001
existential_there_subject_raising,0.556
expletive_it_object_raising,0.637
inchoative,0.371
intransitive,0.461
irregular_past_participle_adjectives,0.494
irregular_past_participle_verbs,0.78
irregular_plural_subject_verb_agreement_1,0.531
irregular_plural_subject_verb_agreement_2,0.553
left_branch_island_echo_question,0.455
left_branch_island_simple_question,0.223
matrix_question_npi_licensor_present,0.025
npi_present_1,0.462
npi_present_2,0.359
only_npi_licensor_present,0.455
only_npi_scope,0.152
passive_1,0.559
passive_2,0.505
principle_A_c_command,0.403
principle_A_case_1,1.0
principle_A_case_2,0.411
principle_A_domain_1,0.947
principle_A_domain_2,0.469
principle_A_domain_3,0.507
principle_A_reconstruction,0.384
regular_plural_subject_verb_agreement_1,0.574
regular_plural_subject_verb_agreement_2,0.463
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.528
sentential_subject_island,0.554
superlative_quantifiers_1,0.285
superlative_quantifiers_2,0.145
tough_vs_raising_1,0.477
tough_vs_raising_2,0.566
transitive,0.585
wh_island,0.967
wh_questions_object_gap,0.411
wh_questions_subject_gap,0.541
wh_questions_subject_gap_long_distance,0.54
wh_vs_that_no_gap,0.767
wh_vs_that_no_gap_long_distance,0.725
wh_vs_that_with_gap,0.205
wh_vs_that_with_gap_long_distance,0.334
