,best
adjunct_island,0.903
adv_order,0.485
wh_vs_that_with_gap,0.491
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.518
recursion_pp_verb_long,0.988
center_embedding_double_1,0.522
recursion_pp_verb_medium,1.0
center_embedding_double_2,0.753
recursion_pp_verb_short,1.0
center_embedding_single_1,0.578
subj_aux_vary_verb_rc,0.408
center_embedding_single_2,0.613
complex_np_island,0.549
recursion_poss_transitive_medium,0.958
coordinate_structure_constrain_object_extraction,0.457
subj_aux_vary_verb_pp,0.313
determiner_noun_agreement_1,0.571
subj_verb_vary_verb,0.44
determiner_noun_agreement_2,0.662
svo_vos,0.427
determiner_noun_agreement_adj_1,0.551
swapped_ditransitive_1,0.843
determiner_noun_agreement_adj_2,0.592
ellipsis,0.496
green_ideas,0.55
intransitive,0.668
recursion_poss_transitive_short,0.958
left_branch_island_simple_question,0.011
recursion_pp_is_long,0.014
matrix_question_npi_licensor_present,0.622
npi_present,0.453
swapped_ditransitive_2,0.795
only_npi_licensor_present,0.99
only_npi_scope,0.484
pp_order,0.451
principle_A_c_command,0.497
principle_A_domain_1,1.0
principle_A_domain_2,0.503
principle_A_domain_3,0.496
transitive,0.861
recursion_intensifier_adj_long,1.0
wh_island,0.959
recursion_intensifier_adj_medium,1.0
wh_questions_object_gap,0.059
recursion_intensifier_adj_short,1.0
wh_vs_that_with_gap_long_distance,0.475
recursion_intensifier_adv_long,0.0
wh_questions_object_gap_long_distance,0.077
recursion_intensifier_adv_medium,0.0
wh_questions_subject_gap,0.803
recursion_intensifier_adv_short,0.0
wh_questions_subject_gap_long_distance,0.934
recursion_poss_ditransitive_long,0.699
recursion_pp_is_medium,0.0
recursion_poss_ditransitive_medium,0.661
recursion_pp_is_short,0.0
recursion_poss_ditransitive_short,0.672
wh_vs_that_no_gap,0.939
recursion_poss_transitive_long,0.963
subj_aux_agreement_question_vary_subj,0.496
sentential_negation_npi_licensor_present,0.154
wh_vs_that_no_gap_long_distance,0.912
sentential_negation_npi_scope,0.504
subj_aux_vary_subj,0.57
subj_aux_agreement_question_vary_aux,0.662
subj_aux_vary_verb,0.614
