,epoch_9
adjunct_island,0.886
adv_order,0.727
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.47
center_embedding_double_1,0.367
center_embedding_double_2,0.913
center_embedding_single_1,0.326
center_embedding_single_2,0.955
complex_np_island,0.445
coordinate_structure_constrain_object_extraction,0.374
determiner_noun_agreement_1,0.489
determiner_noun_agreement_2,0.61
determiner_noun_agreement_adj_1,0.513
determiner_noun_agreement_adj_2,0.612
ellipsis,0.349
green_ideas,0.514
intransitive,0.523
left_branch_island_simple_question,0.066
matrix_question_npi_licensor_present,0.674
npi_present,0.48
only_npi_licensor_present,0.93
only_npi_scope,0.92
pp_order,0.969
principle_A_c_command,0.496
principle_A_domain_1,1.0
principle_A_domain_2,0.504
principle_A_domain_3,0.46
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.372
recursion_poss_ditransitive_medium,0.422
recursion_poss_ditransitive_short,0.625
recursion_poss_transitive_long,0.976
recursion_poss_transitive_medium,0.978
recursion_poss_transitive_short,0.978
recursion_pp_is_long,0.637
recursion_pp_is_medium,0.673
recursion_pp_is_short,0.53
recursion_pp_verb_long,0.911
recursion_pp_verb_medium,0.93
recursion_pp_verb_short,0.856
sentential_negation_npi_licensor_present,0.507
sentential_negation_npi_scope,0.433
subj_aux_agreement_question_vary_aux,0.674
subj_aux_agreement_question_vary_subj,0.503
subj_aux_vary_subj,0.572
subj_aux_vary_verb,0.61
subj_aux_vary_verb_pp,0.44
subj_aux_vary_verb_rc,0.462
subj_verb_vary_verb,0.398
svo_vos,0.5
swapped_ditransitive_1,0.907
swapped_ditransitive_2,0.942
transitive,0.773
wh_island,0.988
wh_questions_object_gap,0.098
wh_questions_object_gap_long_distance,0.084
wh_questions_subject_gap,0.721
wh_questions_subject_gap_long_distance,0.793
wh_vs_that_no_gap,0.992
wh_vs_that_no_gap_long_distance,0.956
wh_vs_that_with_gap,0.441
wh_vs_that_with_gap_long_distance,0.451
