,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 819.4078369140625), (1, 885.7461547851562)]","[(0, 1945.496826171875), (1, 1417.8751220703125)]","[(0, 1379.0443115234375), (1, 1284.519775390625)]","[(0, 1680.6856689453125), (1, 1512.4808349609375)]","[(0, 868.3148193359375), (1, 800.9989624023438)]","[(0, 587.5603637695312), (1, 390.5943298339844)]","[(0, 3660.63525390625), (1, 3145.847900390625)]","[(0, 3200.077880859375), (1, 1868.987548828125)]","[(0, 3471.99267578125), (1, 1766.0706787109375)]","[(0, 7817.90869140625), (1, 7012.70166015625)]","[(0, 2641.8740234375), (1, 3262.1142578125)]","[(0, 3932.75244140625), (1, 1488.7572021484375)]","[(0, 6458.54345703125), (1, 6495.5927734375)]","[(0, 2633.4208984375), (1, 2075.942626953125)]","[(0, 2627.067138671875), (1, 2140.30712890625)]","[(0, 5124.40185546875), (1, 4820.412109375)]","[(0, 3148.55224609375), (1, 3009.23291015625)]","[(0, 2413.489501953125), (1, 2052.088134765625)]","[(0, 1882.429443359375), (1, 1799.6396484375)]","[(0, 1267.1595458984375), (1, 1147.7939453125)]","[(0, 5558.4814453125), (1, 6644.99755859375)]","[(0, 1727.9052734375), (1, 1594.007080078125)]","[(0, 1807.290771484375), (1, 1731.6318359375)]"
1,"[(0, 1415.2232666015625), (1, 1635.0003662109375)]","[(0, 1562.60302734375), (1, 1149.9002685546875)]","[(0, 1292.3616943359375), (1, 1185.10107421875)]","[(0, 1076.4156494140625), (1, 936.5729370117188)]","[(0, 867.0306396484375), (1, 883.5526123046875)]","[(0, 512.98095703125), (1, 399.4587097167969)]","[(0, 1970.262939453125), (1, 2212.55419921875)]","[(0, 1766.9063720703125), (1, 827.8500366210938)]","[(0, 2204.660888671875), (1, 1034.51904296875)]","[(0, 4117.87109375), (1, 3828.98046875)]","[(0, 4361.4169921875), (1, 5573.4345703125)]","[(0, 2247.252197265625), (1, 887.7787475585938)]","[(0, 6279.23681640625), (1, 6524.013671875)]","[(0, 2263.83251953125), (1, 2275.52734375)]","[(0, 3068.938720703125), (1, 2831.408935546875)]","[(0, 3642.97119140625), (1, 4168.5693359375)]","[(0, 1811.9459228515625), (1, 1651.080078125)]","[(0, 2065.361328125), (1, 1948.0599365234375)]","[(0, 2404.81396484375), (1, 1838.1856689453125)]","[(0, 1289.53857421875), (1, 1382.2958984375)]","[(0, 2873.0693359375), (1, 3155.487060546875)]","[(0, 1827.8763427734375), (1, 1482.6376953125)]","[(0, 3528.034423828125), (1, 3173.83056640625)]"
2,"[(0, 1724.3052978515625), (1, 1852.5576171875)]","[(0, 1490.1798095703125), (1, 1082.3349609375)]","[(0, 1431.523681640625), (1, 1335.607666015625)]","[(0, 1314.30419921875), (1, 1211.5745849609375)]","[(0, 1327.27294921875), (1, 1118.49267578125)]","[(0, 707.944091796875), (1, 628.485595703125)]","[(0, 1354.0198974609375), (1, 1283.970458984375)]","[(0, 2045.185546875), (1, 1664.78515625)]","[(0, 4161.97509765625), (1, 1888.31884765625)]","[(0, 6338.3427734375), (1, 9766.599609375)]","[(0, 2951.60595703125), (1, 2768.65771484375)]","[(0, 2689.203369140625), (1, 1983.693359375)]","[(0, 5149.36669921875), (1, 5980.74560546875)]","[(0, 1942.6973876953125), (1, 1399.5753173828125)]","[(0, 2460.67822265625), (1, 1784.48828125)]","[(0, 3915.145751953125), (1, 2705.8583984375)]","[(0, 4141.43359375), (1, 4164.392578125)]","[(0, 1275.8819580078125), (1, 1127.300537109375)]","[(0, 1932.4595947265625), (1, 2090.88623046875)]","[(0, 2751.53125), (1, 2078.484375)]","[(0, 4186.87255859375), (1, 5691.654296875)]","[(0, 1715.875244140625), (1, 1628.6796875)]","[(0, 1799.5916748046875), (1, 2274.694091796875)]"
3,"[(0, 1273.13916015625), (1, 1380.418701171875)]","[(0, 1173.7811279296875), (1, 898.7962646484375)]","[(0, 1411.9547119140625), (1, 1301.02783203125)]","[(0, 1462.7933349609375), (1, 1352.9569091796875)]","[(0, 2925.897705078125), (1, 2571.7666015625)]","[(0, 1827.2601318359375), (1, 1271.486083984375)]","[(0, 1135.599365234375), (1, 1243.2603759765625)]","[(0, 3320.843505859375), (1, 1973.2188720703125)]","[(0, 3143.296142578125), (1, 1556.92529296875)]","[(0, 4818.17333984375), (1, 4404.05810546875)]","[(0, 5084.28076171875), (1, 4711.28955078125)]","[(0, 2931.848876953125), (1, 1779.5513916015625)]","[(0, 4879.75048828125), (1, 5684.38525390625)]","[(0, 2259.854736328125), (1, 1556.5955810546875)]","[(0, 2954.792724609375), (1, 2192.6376953125)]","[(0, 2386.336181640625), (1, 3138.18603515625)]","[(0, 2339.892333984375), (1, 2241.56591796875)]","[(0, 1425.881591796875), (1, 1368.501708984375)]","[(0, 1710.08154296875), (1, 999.609619140625)]","[(0, 2061.301025390625), (1, 4472.6484375)]","[(0, 4319.765625), (1, 5744.6318359375)]","[(0, 2234.83837890625), (1, 2048.601806640625)]","[(0, 2037.8651123046875), (1, 2680.433837890625)]"
4,"[(0, 686.5828247070312), (1, 744.1015014648438)]","[(0, 1684.4034423828125), (1, 2348.887939453125)]","[(0, 1315.8016357421875), (1, 1428.229248046875)]","[(0, 1439.092041015625), (1, 1343.7613525390625)]","[(0, 1787.19873046875), (1, 1541.38916015625)]","[(0, 1202.53759765625), (1, 841.8182983398438)]","[(0, 3995.717041015625), (1, 2779.800048828125)]","[(0, 1730.6866455078125), (1, 1091.814208984375)]","[(0, 2311.201904296875), (1, 1174.8153076171875)]","[(0, 3484.0361328125), (1, 2661.12353515625)]","[(0, 2956.101806640625), (1, 2789.914794921875)]","[(0, 3752.8232421875), (1, 1529.587890625)]","[(0, 3409.98876953125), (1, 3861.6181640625)]","[(0, 2555.5458984375), (1, 2720.291748046875)]","[(0, 3577.135986328125), (1, 3807.04638671875)]","[(0, 2213.214599609375), (1, 1869.3922119140625)]","[(0, 4762.37158203125), (1, 5050.14453125)]","[(0, 1132.908203125), (1, 998.3110961914062)]","[(0, 2023.7791748046875), (1, 2085.444580078125)]","[(0, 3098.656494140625), (1, 2255.912109375)]","[(0, 2648.003662109375), (1, 3557.7978515625)]","[(0, 2222.426025390625), (1, 1808.529541015625)]","[(0, 2568.642822265625), (1, 3972.55859375)]"
5,"[(0, 1205.841064453125), (1, 1390.4476318359375)]","[(0, 1412.056396484375), (1, 1888.7259521484375)]","[(0, 1299.875732421875), (1, 1423.4915771484375)]","[(0, 1518.183349609375), (1, 1413.9888916015625)]","[(0, 1512.7830810546875), (1, 1347.3653564453125)]","[(0, 1182.9324951171875), (1, 906.96630859375)]","[(0, 1502.3087158203125), (1, 2078.98095703125)]","[(0, 1650.35986328125), (1, 1320.8458251953125)]","[(0, 3825.074951171875), (1, 1892.3931884765625)]","[(0, 4641.349609375), (1, 2873.41064453125)]","[(0, 3574.806884765625), (1, 3180.241943359375)]","[(0, 2222.427001953125), (1, 1331.3424072265625)]","[(0, 3608.384033203125), (1, 4185.15576171875)]","[(0, 2768.554931640625), (1, 3244.2255859375)]","[(0, 3049.513916015625), (1, 3590.87646484375)]","[(0, 1757.8564453125), (1, 2057.46923828125)]","[(0, 2202.874267578125), (1, 2447.218017578125)]","[(0, 1510.7847900390625), (1, 1042.3291015625)]","[(0, 2539.975341796875), (1, 1807.1666259765625)]","[(0, 2751.53662109375), (1, 4361.8330078125)]","[(0, 2556.34912109375), (1, 3527.781982421875)]","[(0, 2151.448974609375), (1, 1744.3463134765625)]","[(0, 1414.861572265625), (1, 1371.6434326171875)]"
6,"[(0, 1279.2379150390625), (1, 1358.3486328125)]","[(0, 1948.739990234375), (1, 2914.325439453125)]","[(0, 1400.3377685546875), (1, 1502.6181640625)]","[(0, 1200.5020751953125), (1, 1112.49169921875)]","[(0, 620.49951171875), (1, 673.5779418945312)]","[(0, 1577.75634765625), (1, 1033.07275390625)]","[(0, 3989.75390625), (1, 2887.5634765625)]","[(0, 3158.84423828125), (1, 1785.268798828125)]","[(0, 2637.599609375), (1, 1252.5281982421875)]","[(0, 3616.71435546875), (1, 5539.029296875)]","[(0, 2906.80322265625), (1, 2735.1650390625)]","[(0, 3713.69921875), (1, 2021.786376953125)]","[(0, 3524.80908203125), (1, 2948.466552734375)]","[(0, 3079.046875), (1, 3115.73388671875)]","[(0, 3513.92822265625), (1, 3110.134765625)]","[(0, 4468.943359375), (1, 4296.72412109375)]","[(0, 2565.55419921875), (1, 2594.058837890625)]","[(0, 1652.1920166015625), (1, 1499.4130859375)]","[(0, 1631.1162109375), (1, 1179.8746337890625)]","[(0, 2904.6083984375), (1, 1976.0587158203125)]","[(0, 2549.3251953125), (1, 3072.904052734375)]","[(0, 2612.750732421875), (1, 2022.3040771484375)]","[(0, 2692.84765625), (1, 2596.22705078125)]"
7,"[(0, 1084.0430908203125), (1, 1184.4344482421875)]","[(0, 1600.283203125), (1, 2277.538818359375)]","[(0, 1345.1243896484375), (1, 1453.6038818359375)]","[(0, 1410.7662353515625), (1, 1589.6031494140625)]","[(0, 693.9727783203125), (1, 694.7034912109375)]","[(0, 550.038330078125), (1, 374.5956115722656)]","[(0, 1407.2161865234375), (1, 1940.925048828125)]","[(0, 2203.33154296875), (1, 721.28759765625)]","[(0, 3259.166259765625), (1, 1483.1885986328125)]","[(0, 1938.3076171875), (1, 3059.7216796875)]","[(0, 2961.6201171875), (1, 2784.918701171875)]","[(0, 3548.78076171875), (1, 1184.043701171875)]","[(0, 3534.999267578125), (1, 2986.9853515625)]","[(0, 4915.47216796875), (1, 3678.654541015625)]","[(0, 3560.421630859375), (1, 3167.994384765625)]","[(0, 3482.611083984375), (1, 3609.45068359375)]","[(0, 1465.7698974609375), (1, 1425.7857666015625)]","[(0, 1470.041748046875), (1, 1856.01220703125)]","[(0, 1592.774658203125), (1, 859.2534790039062)]","[(0, 3968.79833984375), (1, 4236.72265625)]","[(0, 1809.9625244140625), (1, 2107.74658203125)]","[(0, 1859.4837646484375), (1, 1351.8890380859375)]","[(0, 3052.598388671875), (1, 5005.66650390625)]"
8,"[(0, 1086.093505859375), (1, 1031.6229248046875)]","[(0, 2348.144287109375), (1, 2392.47607421875)]","[(0, 2011.147216796875), (1, 1804.1221923828125)]","[(0, 811.908447265625), (1, 936.5725708007812)]","[(0, 1031.4857177734375), (1, 1251.444580078125)]","[(0, 483.56915283203125), (1, 372.2185974121094)]","[(0, 1748.2691650390625), (1, 1836.5787353515625)]","[(0, 2390.630859375), (1, 1888.4332275390625)]","[(0, 1836.480712890625), (1, 955.5325927734375)]","[(0, 1313.3958740234375), (1, 1551.5069580078125)]","[(0, 2026.933349609375), (1, 2412.03857421875)]","[(0, 2686.163330078125), (1, 1408.1337890625)]","[(0, 10118.5146484375), (1, 8765.6259765625)]","[(0, 2619.779296875), (1, 2621.382568359375)]","[(0, 3172.0029296875), (1, 2607.76318359375)]","[(0, 5856.53271484375), (1, 5575.05615234375)]","[(0, 3165.0771484375), (1, 3153.8564453125)]","[(0, 1026.5118408203125), (1, 932.3999633789062)]","[(0, 1308.1494140625), (1, 1302.7659912109375)]","[(0, 2091.21630859375), (1, 1763.21728515625)]","[(0, 2240.500732421875), (1, 2842.45947265625)]","[(0, 1374.0347900390625), (1, 1437.4158935546875)]","[(0, 1491.2353515625), (1, 1882.7320556640625)]"
9,"[(0, 1924.9300537109375), (1, 1740.9451904296875)]","[(0, 1863.9420166015625), (1, 1855.1248779296875)]","[(0, 1933.24755859375), (1, 1784.27392578125)]","[(0, 1064.33056640625), (1, 1162.3121337890625)]","[(0, 2195.3212890625), (1, 2518.49951171875)]","[(0, 684.8494873046875), (1, 585.55078125)]","[(0, 2918.660400390625), (1, 2692.219970703125)]","[(0, 4298.1875), (1, 2006.491943359375)]","[(0, 2575.567138671875), (1, 1296.90087890625)]","[(0, 2049.9619140625), (1, 2169.16796875)]","[(0, 1668.0986328125), (1, 1983.473876953125)]","[(0, 2260.70068359375), (1, 1726.9984130859375)]","[(0, 10801.12890625), (1, 9408.31640625)]","[(0, 3755.2900390625), (1, 3057.80517578125)]","[(0, 3012.290771484375), (1, 2614.310791015625)]","[(0, 4724.2158203125), (1, 4974.62841796875)]","[(0, 1597.3199462890625), (1, 1544.8548583984375)]","[(0, 1242.967041015625), (1, 1326.0660400390625)]","[(0, 1601.7862548828125), (1, 1239.0087890625)]","[(0, 3275.591064453125), (1, 2481.155517578125)]","[(0, 1998.8656005859375), (1, 2477.36767578125)]","[(0, 1472.177001953125), (1, 1520.5858154296875)]","[(0, 2645.499755859375), (1, 2604.88232421875)]"
