,best
agreement_determiner_noun-across_1_adjective,0.543
agreement_determiner_noun-between_neighbors,0.611
agreement_subject_verb-across_prepositional_phrase,0.529
agreement_subject_verb-across_relative_clause,0.502
agreement_subject_verb-in_question_with_aux,0.514
agreement_subject_verb-in_simple_question,0.508
anaphor_agreement-pronoun_gender,0.538
argument_structure-dropped_argument,0.8005
argument_structure-swapped_arguments,0.995
argument_structure-transitive,0.6725
binding-principle_a,0.401
case-subjective_pronoun,0.9995
ellipsis-n_bar,0.2595
filler-gap-wh_question_object,0.5345
filler-gap-wh_question_subject,0.991
irregular-verb,0.813
island-effects-adjunct_island,0.694
island-effects-coordinate_structure_constraint,0.353
local_attractor-in_question_with_aux,0.69
npi_licensing-matrix_question,0.5755
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.748
quantifiers-superlative,0.203
