,best
adjunct_island,0.802
adv_order,0.472
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.464
center_embedding_double_1,0.457
center_embedding_double_2,0.873
center_embedding_single_1,0.388
center_embedding_single_2,0.795
complex_np_island,0.376
coordinate_structure_constrain_object_extraction,0.418
determiner_noun_agreement_1,0.479
determiner_noun_agreement_2,0.616
determiner_noun_agreement_adj_1,0.513
determiner_noun_agreement_adj_2,0.583
ellipsis,0.253
green_ideas,0.495
intransitive,0.622
left_branch_island_simple_question,0.05
matrix_question_npi_licensor_present,0.029
npi_present,0.469
only_npi_licensor_present,0.253
only_npi_scope,0.128
pp_order,0.407
principle_A_c_command,0.495
principle_A_domain_1,1.0
principle_A_domain_2,0.501
principle_A_domain_3,0.48
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.567
recursion_poss_ditransitive_medium,0.625
recursion_poss_ditransitive_short,0.687
recursion_poss_transitive_long,0.721
recursion_poss_transitive_medium,0.731
recursion_poss_transitive_short,0.782
recursion_pp_is_long,0.0
recursion_pp_is_medium,0.0
recursion_pp_is_short,0.0
recursion_pp_verb_long,0.998
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,0.991
sentential_negation_npi_licensor_present,0.449
sentential_negation_npi_scope,0.617
subj_aux_agreement_question_vary_aux,0.414
subj_aux_agreement_question_vary_subj,0.483
subj_aux_vary_subj,0.553
subj_aux_vary_verb,0.778
subj_aux_vary_verb_pp,0.442
subj_aux_vary_verb_rc,0.47
subj_verb_vary_verb,0.484
svo_vos,0.622
swapped_ditransitive_1,0.828
swapped_ditransitive_2,0.76
transitive,0.811
wh_island,0.99
wh_questions_object_gap,0.051
wh_questions_object_gap_long_distance,0.043
wh_questions_subject_gap,0.784
wh_questions_subject_gap_long_distance,0.856
wh_vs_that_no_gap,0.948
wh_vs_that_no_gap_long_distance,0.902
wh_vs_that_with_gap,0.53
wh_vs_that_with_gap_long_distance,0.505
