,best
adjunct_island,0.603
superlative_quantifiers_2,0.612
anaphor_gender_agreement,0.604
tough_vs_raising_1,0.43
anaphor_number_agreement,0.505
tough_vs_raising_2,0.611
animate_subject_passive,0.58
wh_questions_subject_gap,0.766
animate_subject_trans,0.507
causative,0.477
wh_vs_that_no_gap,0.67
complex_NP_island,0.391
coordinate_structure_constraint_complex_left_branch,0.242
left_branch_island_echo_question,0.73
coordinate_structure_constraint_object_extraction,0.268
transitive,0.572
determiner_noun_agreement_1,0.539
wh_island,0.88
determiner_noun_agreement_2,0.515
only_npi_scope,0.213
determiner_noun_agreement_irregular_1,0.54
passive_1,0.461
determiner_noun_agreement_irregular_2,0.601
principle_A_domain_1,0.998
determiner_noun_agreement_with_adj_2,0.489
left_branch_island_simple_question,0.357
determiner_noun_agreement_with_adj_irregular_1,0.553
matrix_question_npi_licensor_present,0.032
determiner_noun_agreement_with_adj_irregular_2,0.534
npi_present_1,0.298
determiner_noun_agreement_with_adjective_1,0.498
principle_A_domain_2,0.528
distractor_agreement_relational_noun,0.47
principle_A_domain_3,0.514
distractor_agreement_relative_clause,0.458
drop_argument,0.417
wh_vs_that_with_gap,0.351
ellipsis_n_bar_1,0.296
ellipsis_n_bar_2,0.545
principle_A_reconstruction,0.238
existential_there_object_raising,0.667
regular_plural_subject_verb_agreement_1,0.52
existential_there_quantifiers_1,0.772
regular_plural_subject_verb_agreement_2,0.507
existential_there_quantifiers_2,0.414
sentential_negation_npi_licensor_present,0.999
existential_there_subject_raising,0.545
wh_questions_object_gap,0.429
expletive_it_object_raising,0.612
inchoative,0.486
intransitive,0.403
sentential_negation_npi_scope,0.688
irregular_past_participle_adjectives,0.461
sentential_subject_island,0.577
irregular_past_participle_verbs,0.8
npi_present_2,0.29
irregular_plural_subject_verb_agreement_1,0.579
only_npi_licensor_present,0.0
irregular_plural_subject_verb_agreement_2,0.553
passive_2,0.415
principle_A_c_command,0.565
principle_A_case_1,1.0
principle_A_case_2,0.477
superlative_quantifiers_1,0.485
wh_questions_subject_gap_long_distance,0.821
wh_vs_that_no_gap_long_distance,0.745
wh_vs_that_with_gap_long_distance,0.349
