,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 1040.94287109375), (1, 1109.303466796875)]","[(0, 1213.0272216796875), (1, 1188.949951171875)]","[(0, 1008.1550903320312), (1, 830.8912353515625)]","[(0, 852.462158203125), (1, 748.193359375)]","[(0, 799.9771118164062), (1, 691.7899169921875)]","[(0, 735.379150390625), (1, 300.029052734375)]","[(0, 4064.66357421875), (1, 3697.242431640625)]","[(0, 1851.86083984375), (1, 1140.815673828125)]","[(0, 3186.043212890625), (1, 3040.642333984375)]","[(0, 12750.0927734375), (1, 11766.240234375)]","[(0, 3255.091064453125), (1, 4565.11474609375)]","[(0, 4180.962890625), (1, 2190.7265625)]","[(0, 5718.2421875), (1, 5864.67578125)]","[(0, 1911.51904296875), (1, 2011.7398681640625)]","[(0, 2064.46240234375), (1, 1602.6519775390625)]","[(0, 2654.537109375), (1, 2186.093017578125)]","[(0, 1397.271484375), (1, 1421.1280517578125)]","[(0, 1590.676025390625), (1, 1542.43310546875)]","[(0, 1515.080078125), (1, 1059.3529052734375)]","[(0, 1151.7216796875), (1, 987.9144287109375)]","[(0, 6583.37060546875), (1, 6154.93212890625)]","[(0, 1566.7939453125), (1, 1490.107421875)]","[(0, 1808.9193115234375), (1, 1740.9901123046875)]"
1,"[(0, 1383.1365966796875), (1, 1453.8812255859375)]","[(0, 941.9330444335938), (1, 932.3790893554688)]","[(0, 1060.6600341796875), (1, 870.7308349609375)]","[(0, 481.0650634765625), (1, 428.71258544921875)]","[(0, 622.7857666015625), (1, 527.2138671875)]","[(0, 507.21466064453125), (1, 199.5871124267578)]","[(0, 1323.6470947265625), (1, 1428.2564697265625)]","[(0, 808.5607299804688), (1, 827.092041015625)]","[(0, 1641.23681640625), (1, 1155.5970458984375)]","[(0, 3219.691162109375), (1, 3231.189208984375)]","[(0, 4757.537109375), (1, 6357.98193359375)]","[(0, 2517.68896484375), (1, 1206.2337646484375)]","[(0, 5046.884765625), (1, 5271.95751953125)]","[(0, 1403.9058837890625), (1, 1735.8406982421875)]","[(0, 3072.660888671875), (1, 2216.55419921875)]","[(0, 1758.673095703125), (1, 2266.661376953125)]","[(0, 1049.894775390625), (1, 1070.7603759765625)]","[(0, 1606.0087890625), (1, 1657.5145263671875)]","[(0, 2313.89453125), (1, 1708.3577880859375)]","[(0, 1163.5958251953125), (1, 1131.2320556640625)]","[(0, 2834.295654296875), (1, 2439.06201171875)]","[(0, 1280.3590087890625), (1, 1240.723876953125)]","[(0, 3319.504150390625), (1, 3110.392822265625)]"
2,"[(0, 1366.03662109375), (1, 1342.592529296875)]","[(0, 1234.3878173828125), (1, 1103.2979736328125)]","[(0, 925.8054809570312), (1, 775.172607421875)]","[(0, 546.4730224609375), (1, 496.49951171875)]","[(0, 906.994873046875), (1, 823.9574584960938)]","[(0, 745.7887573242188), (1, 361.3638916015625)]","[(0, 1524.447998046875), (1, 1430.51318359375)]","[(0, 875.8573608398438), (1, 756.1394653320312)]","[(0, 2210.379638671875), (1, 1419.62451171875)]","[(0, 4769.20751953125), (1, 7737.77783203125)]","[(0, 4025.466064453125), (1, 3250.67333984375)]","[(0, 2076.4853515625), (1, 1724.91552734375)]","[(0, 5850.6435546875), (1, 5601.8369140625)]","[(0, 1506.3673095703125), (1, 1642.2615966796875)]","[(0, 2565.565185546875), (1, 1818.8348388671875)]","[(0, 3980.518798828125), (1, 3291.64306640625)]","[(0, 2432.601806640625), (1, 2853.249755859375)]","[(0, 1094.357177734375), (1, 1062.0908203125)]","[(0, 1763.9532470703125), (1, 1763.627685546875)]","[(0, 1984.321533203125), (1, 1714.205322265625)]","[(0, 3319.019775390625), (1, 3235.06494140625)]","[(0, 1903.8443603515625), (1, 1801.9263916015625)]","[(0, 1568.2379150390625), (1, 2038.638671875)]"
3,"[(0, 1438.9334716796875), (1, 1509.94140625)]","[(0, 963.0921630859375), (1, 859.2796630859375)]","[(0, 945.7594604492188), (1, 783.6820068359375)]","[(0, 680.3165283203125), (1, 610.7625122070312)]","[(0, 2231.5634765625), (1, 2005.4769287109375)]","[(0, 1163.4344482421875), (1, 610.3016357421875)]","[(0, 1246.0753173828125), (1, 1263.2816162109375)]","[(0, 3171.7763671875), (1, 2286.444091796875)]","[(0, 2609.06787109375), (1, 1491.923828125)]","[(0, 6498.49853515625), (1, 5551.68994140625)]","[(0, 5269.21826171875), (1, 4717.37744140625)]","[(0, 2089.268798828125), (1, 2069.998291015625)]","[(0, 5286.31103515625), (1, 5004.7978515625)]","[(0, 1887.5860595703125), (1, 1768.8746337890625)]","[(0, 3013.693115234375), (1, 2073.962890625)]","[(0, 3036.74755859375), (1, 3656.169189453125)]","[(0, 1848.4193115234375), (1, 2157.49365234375)]","[(0, 1189.940185546875), (1, 1316.5780029296875)]","[(0, 1097.98779296875), (1, 745.9185180664062)]","[(0, 2276.921142578125), (1, 3909.355224609375)]","[(0, 1994.2681884765625), (1, 2022.267578125)]","[(0, 1990.5260009765625), (1, 1894.7073974609375)]","[(0, 1274.638427734375), (1, 1783.6614990234375)]"
4,"[(0, 881.690673828125), (1, 934.135986328125)]","[(0, 1647.5888671875), (1, 1814.1297607421875)]","[(0, 860.0696411132812), (1, 1035.814208984375)]","[(0, 772.5136108398438), (1, 702.2940673828125)]","[(0, 2168.331298828125), (1, 1799.2828369140625)]","[(0, 698.6361083984375), (1, 414.4677734375)]","[(0, 5490.36083984375), (1, 5008.47900390625)]","[(0, 1293.87109375), (1, 1486.897705078125)]","[(0, 2054.3466796875), (1, 1064.1661376953125)]","[(0, 3103.75244140625), (1, 1811.8345947265625)]","[(0, 4075.349365234375), (1, 3808.702392578125)]","[(0, 3227.6689453125), (1, 1794.353759765625)]","[(0, 3123.9248046875), (1, 3145.85107421875)]","[(0, 2008.9752197265625), (1, 2201.2763671875)]","[(0, 3466.811279296875), (1, 2780.814208984375)]","[(0, 2299.4169921875), (1, 1758.1480712890625)]","[(0, 2405.31494140625), (1, 3131.402587890625)]","[(0, 775.8862915039062), (1, 815.80859375)]","[(0, 1182.74072265625), (1, 1119.04052734375)]","[(0, 2055.139404296875), (1, 1930.474853515625)]","[(0, 1356.919189453125), (1, 1324.214599609375)]","[(0, 2525.988525390625), (1, 2027.6785888671875)]","[(0, 2102.583984375), (1, 3833.660888671875)]"
5,"[(0, 1111.760986328125), (1, 1180.69970703125)]","[(0, 1247.25), (1, 1361.9365234375)]","[(0, 864.0899047851562), (1, 1052.999755859375)]","[(0, 706.9869995117188), (1, 635.596923828125)]","[(0, 1855.216796875), (1, 1510.5528564453125)]","[(0, 659.1050415039062), (1, 381.01678466796875)]","[(0, 1879.484130859375), (1, 2179.237548828125)]","[(0, 1082.9132080078125), (1, 953.6622314453125)]","[(0, 2985.071533203125), (1, 2708.43603515625)]","[(0, 5870.3779296875), (1, 3271.42626953125)]","[(0, 4207.775390625), (1, 3630.52001953125)]","[(0, 2220.319091796875), (1, 1980.512939453125)]","[(0, 2791.268310546875), (1, 2928.646240234375)]","[(0, 2524.505126953125), (1, 2576.9775390625)]","[(0, 3488.4248046875), (1, 2955.346435546875)]","[(0, 1457.2821044921875), (1, 1712.3900146484375)]","[(0, 1689.148193359375), (1, 2229.49072265625)]","[(0, 1119.3939208984375), (1, 1108.622802734375)]","[(0, 2118.284423828125), (1, 1635.62890625)]","[(0, 1801.5157470703125), (1, 3354.49755859375)]","[(0, 897.0057373046875), (1, 850.0117797851562)]","[(0, 1971.2598876953125), (1, 1562.9376220703125)]","[(0, 967.4745483398438), (1, 867.162109375)]"
6,"[(0, 1179.8021240234375), (1, 1174.498291015625)]","[(0, 1662.1517333984375), (1, 1809.5750732421875)]","[(0, 962.8667602539062), (1, 1168.4508056640625)]","[(0, 507.91265869140625), (1, 457.3433532714844)]","[(0, 472.5234069824219), (1, 577.8101196289062)]","[(0, 708.4066772460938), (1, 386.490234375)]","[(0, 5458.8935546875), (1, 4559.728515625)]","[(0, 2229.91064453125), (1, 1177.0830078125)]","[(0, 2310.411865234375), (1, 1270.5648193359375)]","[(0, 5451.630859375), (1, 7249.6748046875)]","[(0, 3810.307861328125), (1, 3934.27197265625)]","[(0, 3534.4228515625), (1, 3566.603515625)]","[(0, 2706.74462890625), (1, 2895.024658203125)]","[(0, 2430.312255859375), (1, 3012.290771484375)]","[(0, 3284.800537109375), (1, 2565.67529296875)]","[(0, 4554.38720703125), (1, 4372.95361328125)]","[(0, 1636.9302978515625), (1, 1574.0899658203125)]","[(0, 1171.7125244140625), (1, 1135.2020263671875)]","[(0, 971.363037109375), (1, 774.1002807617188)]","[(0, 2436.25048828125), (1, 2152.351806640625)]","[(0, 1919.0142822265625), (1, 1832.4595947265625)]","[(0, 1922.9156494140625), (1, 1613.46435546875)]","[(0, 1703.138427734375), (1, 1610.0672607421875)]"
7,"[(0, 1128.1427001953125), (1, 1180.58935546875)]","[(0, 1328.5894775390625), (1, 1442.89794921875)]","[(0, 958.1958618164062), (1, 1177.775146484375)]","[(0, 740.2189331054688), (1, 834.772705078125)]","[(0, 338.5651550292969), (1, 418.184814453125)]","[(0, 710.525390625), (1, 289.5216369628906)]","[(0, 1684.306396484375), (1, 1998.8045654296875)]","[(0, 1323.9967041015625), (1, 602.0514526367188)]","[(0, 2274.506591796875), (1, 1350.5235595703125)]","[(0, 2565.567626953125), (1, 3819.24658203125)]","[(0, 3820.69287109375), (1, 3957.686279296875)]","[(0, 2633.871826171875), (1, 1318.105712890625)]","[(0, 2116.353271484375), (1, 2199.943603515625)]","[(0, 3733.58203125), (1, 4284.6533203125)]","[(0, 3473.529296875), (1, 2741.686279296875)]","[(0, 4062.966064453125), (1, 4213.650390625)]","[(0, 1254.51318359375), (1, 1186.5972900390625)]","[(0, 1157.28173828125), (1, 1594.0472412109375)]","[(0, 764.5452880859375), (1, 571.42626953125)]","[(0, 4743.81396484375), (1, 4093.3681640625)]","[(0, 1870.70751953125), (1, 1616.37353515625)]","[(0, 1226.1322021484375), (1, 1013.7257080078125)]","[(0, 2275.852783203125), (1, 4199.96142578125)]"
8,"[(0, 1272.6390380859375), (1, 1236.3636474609375)]","[(0, 1687.918701171875), (1, 1701.609130859375)]","[(0, 1074.8912353515625), (1, 924.3573608398438)]","[(0, 416.89105224609375), (1, 463.7351989746094)]","[(0, 567.4779052734375), (1, 649.9325561523438)]","[(0, 520.260009765625), (1, 208.7323760986328)]","[(0, 1375.6783447265625), (1, 1264.8970947265625)]","[(0, 842.5628662109375), (1, 686.2554931640625)]","[(0, 1869.815673828125), (1, 960.8729248046875)]","[(0, 1123.7176513671875), (1, 1037.6566162109375)]","[(0, 1424.22900390625), (1, 1780.3568115234375)]","[(0, 2255.689453125), (1, 1911.7042236328125)]","[(0, 7983.42431640625), (1, 8210.2119140625)]","[(0, 2118.93017578125), (1, 2582.6953125)]","[(0, 2867.478271484375), (1, 2197.7041015625)]","[(0, 6340.0537109375), (1, 4895.341796875)]","[(0, 1788.618408203125), (1, 1738.7333984375)]","[(0, 812.3599853515625), (1, 821.7438354492188)]","[(0, 1571.6995849609375), (1, 1213.64697265625)]","[(0, 1935.102294921875), (1, 1950.561279296875)]","[(0, 2119.39599609375), (1, 2042.989501953125)]","[(0, 1272.48681640625), (1, 1417.0423583984375)]","[(0, 1384.8319091796875), (1, 1832.144287109375)]"
9,"[(0, 1758.14892578125), (1, 1745.402099609375)]","[(0, 1404.0853271484375), (1, 1309.04296875)]","[(0, 1183.89013671875), (1, 1023.9931640625)]","[(0, 483.7451171875), (1, 527.5855712890625)]","[(0, 1420.3077392578125), (1, 1662.9405517578125)]","[(0, 784.8922729492188), (1, 381.58734130859375)]","[(0, 1379.5849609375), (1, 1460.079833984375)]","[(0, 2937.964599609375), (1, 1528.938232421875)]","[(0, 1700.5513916015625), (1, 1571.849609375)]","[(0, 1763.4451904296875), (1, 2979.4716796875)]","[(0, 1460.557373046875), (1, 1719.39208984375)]","[(0, 1770.7608642578125), (1, 1570.1767578125)]","[(0, 7691.5087890625), (1, 8057.703125)]","[(0, 3192.71337890625), (1, 3528.20947265625)]","[(0, 3722.1240234375), (1, 2747.54296875)]","[(0, 3311.700439453125), (1, 4449.6953125)]","[(0, 1383.48486328125), (1, 1351.6175537109375)]","[(0, 1444.2388916015625), (1, 1329.126708984375)]","[(0, 1841.3929443359375), (1, 1256.5194091796875)]","[(0, 2331.10791015625), (1, 2594.183837890625)]","[(0, 1434.64404296875), (1, 1406.9471435546875)]","[(0, 913.6170043945312), (1, 1047.3397216796875)]","[(0, 2376.582763671875), (1, 2268.58935546875)]"
