,best
adjunct_island,0.468
anaphor_gender_agreement,0.453
anaphor_number_agreement,0.488
animate_subject_passive,0.542
animate_subject_trans,0.467
causative,0.46
complex_NP_island,0.51
coordinate_structure_constraint_complex_left_branch,0.379
coordinate_structure_constraint_object_extraction,0.396
determiner_noun_agreement_1,0.498
determiner_noun_agreement_2,0.484
determiner_noun_agreement_irregular_1,0.513
determiner_noun_agreement_irregular_2,0.51
determiner_noun_agreement_with_adj_2,0.493
determiner_noun_agreement_with_adj_irregular_1,0.562
determiner_noun_agreement_with_adj_irregular_2,0.53
determiner_noun_agreement_with_adjective_1,0.482
distractor_agreement_relational_noun,0.456
distractor_agreement_relative_clause,0.499
drop_argument,0.474
ellipsis_n_bar_1,0.2
ellipsis_n_bar_2,0.479
existential_there_object_raising,0.702
existential_there_quantifiers_1,0.648
existential_there_quantifiers_2,0.176
existential_there_subject_raising,0.597
expletive_it_object_raising,0.631
inchoative,0.416
intransitive,0.415
irregular_past_participle_adjectives,0.517
irregular_past_participle_verbs,0.701
irregular_plural_subject_verb_agreement_1,0.53
irregular_plural_subject_verb_agreement_2,0.56
left_branch_island_echo_question,0.585
left_branch_island_simple_question,0.362
matrix_question_npi_licensor_present,0.075
npi_present_1,0.373
npi_present_2,0.311
only_npi_licensor_present,0.0
only_npi_scope,0.082
passive_1,0.526
passive_2,0.481
principle_A_c_command,0.592
principle_A_case_1,1.0
principle_A_case_2,0.391
principle_A_domain_1,1.0
principle_A_domain_2,0.508
principle_A_domain_3,0.485
principle_A_reconstruction,0.274
regular_plural_subject_verb_agreement_1,0.501
regular_plural_subject_verb_agreement_2,0.488
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.718
sentential_subject_island,0.551
superlative_quantifiers_1,0.484
superlative_quantifiers_2,0.488
tough_vs_raising_1,0.465
tough_vs_raising_2,0.576
transitive,0.578
wh_island,0.877
wh_questions_object_gap,0.461
wh_questions_subject_gap,0.78
wh_questions_subject_gap_long_distance,0.786
wh_vs_that_no_gap,0.901
wh_vs_that_no_gap_long_distance,0.899
wh_vs_that_with_gap,0.124
wh_vs_that_with_gap_long_distance,0.169
