,best
adjunct_island,0.574
anaphor_gender_agreement,0.703
anaphor_number_agreement,0.625
animate_subject_passive,0.546
animate_subject_trans,0.607
causative,0.431
complex_NP_island,0.609
coordinate_structure_constraint_complex_left_branch,0.246
coordinate_structure_constraint_object_extraction,0.552
determiner_noun_agreement_1,0.524
determiner_noun_agreement_2,0.493
determiner_noun_agreement_irregular_1,0.528
determiner_noun_agreement_irregular_2,0.593
determiner_noun_agreement_with_adj_2,0.483
determiner_noun_agreement_with_adj_irregular_1,0.554
determiner_noun_agreement_with_adj_irregular_2,0.523
determiner_noun_agreement_with_adjective_1,0.507
distractor_agreement_relational_noun,0.466
distractor_agreement_relative_clause,0.467
drop_argument,0.539
ellipsis_n_bar_1,0.4
ellipsis_n_bar_2,0.487
existential_there_object_raising,0.683
existential_there_quantifiers_1,0.827
existential_there_quantifiers_2,0.114
existential_there_subject_raising,0.552
expletive_it_object_raising,0.648
inchoative,0.427
intransitive,0.452
irregular_past_participle_adjectives,0.83
irregular_past_participle_verbs,0.741
irregular_plural_subject_verb_agreement_1,0.526
irregular_plural_subject_verb_agreement_2,0.531
left_branch_island_echo_question,0.608
left_branch_island_simple_question,0.349
matrix_question_npi_licensor_present,0.006
npi_present_1,0.341
npi_present_2,0.266
only_npi_licensor_present,0.094
only_npi_scope,0.096
passive_1,0.535
passive_2,0.505
principle_A_c_command,0.423
principle_A_case_1,1.0
principle_A_case_2,0.418
principle_A_domain_1,0.952
principle_A_domain_2,0.502
principle_A_domain_3,0.498
principle_A_reconstruction,0.373
regular_plural_subject_verb_agreement_1,0.585
regular_plural_subject_verb_agreement_2,0.49
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.658
sentential_subject_island,0.569
superlative_quantifiers_1,0.348
superlative_quantifiers_2,0.524
tough_vs_raising_1,0.45
tough_vs_raising_2,0.594
transitive,0.588
wh_island,0.95
wh_questions_object_gap,0.38
wh_questions_subject_gap,0.613
wh_questions_subject_gap_long_distance,0.649
wh_vs_that_no_gap,0.85
wh_vs_that_no_gap_long_distance,0.904
wh_vs_that_with_gap,0.202
wh_vs_that_with_gap_long_distance,0.156
