,best
adjunct_island,0.59
adv_order,0.493
anaphor_gender_agreement,0.504
anaphor_number_agreement,0.419
center_embedding_double_1,0.523
center_embedding_double_2,0.936
center_embedding_single_1,0.372
center_embedding_single_2,0.948
complex_np_island,0.475
coordinate_structure_constrain_object_extraction,0.292
determiner_noun_agreement_1,0.477
determiner_noun_agreement_2,0.581
determiner_noun_agreement_adj_1,0.518
determiner_noun_agreement_adj_2,0.602
ellipsis,0.182
green_ideas,0.419
intransitive,0.494
left_branch_island_simple_question,0.191
matrix_question_npi_licensor_present,0.464
npi_present,0.462
only_npi_licensor_present,0.929
only_npi_scope,0.466
pp_order,0.413
principle_A_c_command,0.463
principle_A_domain_1,1.0
principle_A_domain_2,0.513
principle_A_domain_3,0.485
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.618
recursion_poss_ditransitive_medium,0.63
recursion_poss_ditransitive_short,0.605
recursion_poss_transitive_long,0.876
recursion_poss_transitive_medium,0.916
recursion_poss_transitive_short,0.953
recursion_pp_is_long,0.521
recursion_pp_is_medium,0.275
recursion_pp_is_short,0.208
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,1.0
sentential_negation_npi_licensor_present,0.775
sentential_negation_npi_scope,0.582
subj_aux_agreement_question_vary_aux,0.517
subj_aux_agreement_question_vary_subj,0.498
subj_aux_vary_subj,0.523
subj_aux_vary_verb,0.489
subj_aux_vary_verb_pp,0.509
subj_aux_vary_verb_rc,0.515
subj_verb_vary_verb,0.383
svo_vos,0.477
swapped_ditransitive_1,0.869
swapped_ditransitive_2,0.724
transitive,0.738
wh_island,1.0
wh_questions_object_gap,0.431
wh_questions_object_gap_long_distance,0.35
wh_questions_subject_gap,0.757
wh_questions_subject_gap_long_distance,0.54
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.027
wh_vs_that_with_gap_long_distance,0.128
