,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 1393.6861572265625), (1, 1026.9617919921875)]","[(0, 4651.896484375), (1, 3760.79150390625)]","[(0, 3303.71630859375), (1, 2732.30908203125)]","[(0, 2777.00341796875), (1, 3345.42431640625)]","[(0, 937.1475219726562), (1, 1209.609619140625)]","[(0, 2200.140869140625), (1, 977.588623046875)]","[(0, 22467.818359375), (1, 16709.90234375)]","[(0, 6647.12646484375), (1, 3117.59765625)]","[(0, 31848.447265625), (1, 15601.044921875)]","[(0, 720658.5625), (1, 308336.9375)]","[(0, 9504.486328125), (1, 16017.794921875)]","[(0, 12484.6572265625), (1, 8851.08984375)]","[(0, 16963.25390625), (1, 16745.22265625)]","[(0, 3922.194091796875), (1, 3793.665283203125)]","[(0, 7963.92626953125), (1, 3933.116455078125)]","[(0, 3161.93359375), (1, 2927.86865234375)]","[(0, 3577.989013671875), (1, 2879.13671875)]","[(0, 4419.49951171875), (1, 3201.8974609375)]","[(0, 2328.55029296875), (1, 2894.96240234375)]","[(0, 2395.0556640625), (1, 1573.4423828125)]","[(0, 10721.5625), (1, 10089.2412109375)]","[(0, 1943.8638916015625), (1, 1087.5606689453125)]","[(0, 430.25201416015625), (1, 502.1324768066406)]"
1,"[(0, 2878.978759765625), (1, 3008.63623046875)]","[(0, 3587.552734375), (1, 3093.017578125)]","[(0, 4124.81591796875), (1, 3476.356201171875)]","[(0, 1780.98681640625), (1, 2288.780517578125)]","[(0, 511.60101318359375), (1, 374.328125)]","[(0, 1311.1688232421875), (1, 642.4880981445312)]","[(0, 7692.484375), (1, 9257.171875)]","[(0, 5996.19970703125), (1, 3534.308349609375)]","[(0, 9117.982421875), (1, 2934.60546875)]","[(0, 62556.125), (1, 44661.84375)]","[(0, 18980.32421875), (1, 24530.80859375)]","[(0, 12574.634765625), (1, 6369.306640625)]","[(0, 20392.53125), (1, 19239.56640625)]","[(0, 4706.65087890625), (1, 5985.9091796875)]","[(0, 7730.5498046875), (1, 5849.51611328125)]","[(0, 1354.8865966796875), (1, 1689.36962890625)]","[(0, 1544.2523193359375), (1, 1234.59033203125)]","[(0, 3501.179931640625), (1, 4519.19921875)]","[(0, 14665.8232421875), (1, 20724.298828125)]","[(0, 2770.3876953125), (1, 2614.3896484375)]","[(0, 3631.475830078125), (1, 3417.46337890625)]","[(0, 3366.001953125), (1, 1940.837158203125)]","[(0, 2575.2666015625), (1, 3587.80224609375)]"
2,"[(0, 2218.81201171875), (1, 2466.365966796875)]","[(0, 2487.94873046875), (1, 1874.877685546875)]","[(0, 4092.080078125), (1, 3373.740478515625)]","[(0, 2093.526123046875), (1, 2668.0048828125)]","[(0, 443.6642150878906), (1, 423.0579833984375)]","[(0, 1171.6365966796875), (1, 492.9761962890625)]","[(0, 4627.7099609375), (1, 4493.27197265625)]","[(0, 5771.666015625), (1, 3909.496826171875)]","[(0, 19009.326171875), (1, 6963.705078125)]","[(0, 196011.4375), (1, 323520.71875)]","[(0, 10952.8544921875), (1, 13486.4833984375)]","[(0, 10583.6337890625), (1, 2322.8115234375)]","[(0, 19208.2890625), (1, 19426.2421875)]","[(0, 4116.814453125), (1, 3368.365478515625)]","[(0, 11234.396484375), (1, 6685.37939453125)]","[(0, 2947.558349609375), (1, 2377.888427734375)]","[(0, 12741.6328125), (1, 11807.5380859375)]","[(0, 1714.3433837890625), (1, 1229.1328125)]","[(0, 3301.67529296875), (1, 2430.546142578125)]","[(0, 6849.376953125), (1, 6662.76513671875)]","[(0, 5983.79248046875), (1, 5444.673828125)]","[(0, 3227.4443359375), (1, 2247.30908203125)]","[(0, 1121.97119140625), (1, 914.698486328125)]"
3,"[(0, 6986.154296875), (1, 4754.26708984375)]","[(0, 1911.4990234375), (1, 1537.18408203125)]","[(0, 5092.25830078125), (1, 4331.62158203125)]","[(0, 1983.5694580078125), (1, 2570.19970703125)]","[(0, 6151.22900390625), (1, 5288.55517578125)]","[(0, 9441.6083984375), (1, 3930.5439453125)]","[(0, 5139.87744140625), (1, 5718.82080078125)]","[(0, 8634.2724609375), (1, 8025.46240234375)]","[(0, 17815.1015625), (1, 2851.16357421875)]","[(0, 144105.59375), (1, 173774.484375)]","[(0, 20593.263671875), (1, 20169.71875)]","[(0, 15200.021484375), (1, 4018.15966796875)]","[(0, 16486.115234375), (1, 16232.31640625)]","[(0, 4885.24462890625), (1, 4949.6181640625)]","[(0, 9981.3076171875), (1, 5777.81201171875)]","[(0, 1170.3277587890625), (1, 1350.2872314453125)]","[(0, 5540.88916015625), (1, 5276.01171875)]","[(0, 2667.265869140625), (1, 2640.592041015625)]","[(0, 7348.91845703125), (1, 4241.755859375)]","[(0, 18124.439453125), (1, 58313.89453125)]","[(0, 4900.76513671875), (1, 4372.14453125)]","[(0, 4100.47509765625), (1, 2922.0205078125)]","[(0, 3155.32763671875), (1, 3070.633544921875)]"
4,"[(0, 1431.007080078125), (1, 986.397705078125)]","[(0, 4168.0283203125), (1, 3792.03759765625)]","[(0, 4242.7392578125), (1, 4827.4921875)]","[(0, 1652.7579345703125), (1, 2071.257080078125)]","[(0, 2840.138671875), (1, 2450.7119140625)]","[(0, 1418.0826416015625), (1, 765.8070068359375)]","[(0, 14255.96875), (1, 15477.201171875)]","[(0, 6102.09716796875), (1, 5572.5947265625)]","[(0, 20084.208984375), (1, 8167.478515625)]","[(0, 25841.73828125), (1, 16846.421875)]","[(0, 11154.51953125), (1, 9040.98828125)]","[(0, 13164.048828125), (1, 7562.52685546875)]","[(0, 12275.3095703125), (1, 13659.7021484375)]","[(0, 2505.59033203125), (1, 3181.755859375)]","[(0, 8219.53515625), (1, 6631.6142578125)]","[(0, 5957.7529296875), (1, 3535.5048828125)]","[(0, 6871.48486328125), (1, 6888.02490234375)]","[(0, 1651.8116455078125), (1, 1116.1861572265625)]","[(0, 5480.060546875), (1, 4021.621337890625)]","[(0, 9594.52734375), (1, 12061.453125)]","[(0, 1934.97216796875), (1, 1918.173583984375)]","[(0, 1582.429931640625), (1, 1168.951904296875)]","[(0, 3533.66796875), (1, 3487.633056640625)]"
5,"[(0, 1307.318115234375), (1, 1329.7911376953125)]","[(0, 3452.123291015625), (1, 2924.2978515625)]","[(0, 2594.865478515625), (1, 3029.07958984375)]","[(0, 2845.7197265625), (1, 3652.92431640625)]","[(0, 3502.599365234375), (1, 2233.79638671875)]","[(0, 2761.819580078125), (1, 1435.567138671875)]","[(0, 7218.546875), (1, 6817.4580078125)]","[(0, 13252.6640625), (1, 7910.37353515625)]","[(0, 31836.724609375), (1, 6518.00634765625)]","[(0, 147017.078125), (1, 97165.21875)]","[(0, 5680.2177734375), (1, 7301.798828125)]","[(0, 8968.2353515625), (1, 2741.34912109375)]","[(0, 9589.7978515625), (1, 9826.908203125)]","[(0, 4215.68798828125), (1, 5372.380859375)]","[(0, 5934.96728515625), (1, 6818.341796875)]","[(0, 1819.3753662109375), (1, 1307.504638671875)]","[(0, 2785.21728515625), (1, 2630.267333984375)]","[(0, 2591.103271484375), (1, 1878.7742919921875)]","[(0, 32440.87890625), (1, 21818.380859375)]","[(0, 27700.376953125), (1, 47895.74609375)]","[(0, 2099.8115234375), (1, 1998.50439453125)]","[(0, 3292.00732421875), (1, 2259.760009765625)]","[(0, 608.3645629882812), (1, 746.4725341796875)]"
6,"[(0, 1029.75634765625), (1, 1135.384033203125)]","[(0, 3884.363037109375), (1, 3347.712646484375)]","[(0, 4427.44287109375), (1, 5212.47607421875)]","[(0, 1542.975341796875), (1, 1899.8133544921875)]","[(0, 1483.3682861328125), (1, 1085.758056640625)]","[(0, 1852.218505859375), (1, 979.3699340820312)]","[(0, 7872.71337890625), (1, 8500.9853515625)]","[(0, 12847.51953125), (1, 7028.576171875)]","[(0, 22271.6796875), (1, 10240.93359375)]","[(0, 101211.5546875), (1, 244653.5625)]","[(0, 7870.2587890625), (1, 7553.0126953125)]","[(0, 28801.30859375), (1, 10350.0751953125)]","[(0, 10115.0126953125), (1, 12983.3896484375)]","[(0, 9504.939453125), (1, 9333.0791015625)]","[(0, 14709.904296875), (1, 6902.74853515625)]","[(0, 9863.96875), (1, 9031.328125)]","[(0, 6684.80517578125), (1, 6041.68408203125)]","[(0, 3876.180908203125), (1, 3090.443359375)]","[(0, 5202.4541015625), (1, 3456.320068359375)]","[(0, 11721.44140625), (1, 13281.9931640625)]","[(0, 5868.21240234375), (1, 6349.39599609375)]","[(0, 3014.44921875), (1, 1784.084228515625)]","[(0, 2174.315673828125), (1, 2476.604736328125)]"
7,"[(0, 6715.36767578125), (1, 4260.51904296875)]","[(0, 3218.831298828125), (1, 2610.703369140625)]","[(0, 3664.218505859375), (1, 4236.896484375)]","[(0, 3537.17431640625), (1, 2761.973876953125)]","[(0, 466.5340270996094), (1, 564.6986694335938)]","[(0, 2902.884521484375), (1, 1326.43212890625)]","[(0, 4841.37890625), (1, 4641.2744140625)]","[(0, 13462.775390625), (1, 1849.28759765625)]","[(0, 28104.814453125), (1, 2369.8212890625)]","[(0, 75817.328125), (1, 71050.7890625)]","[(0, 4773.14794921875), (1, 4993.3271484375)]","[(0, 5493.236328125), (1, 4761.654296875)]","[(0, 12045.5439453125), (1, 14355.8359375)]","[(0, 17667.546875), (1, 17424.236328125)]","[(0, 10634.220703125), (1, 6285.59375)]","[(0, 7235.0458984375), (1, 8354.4619140625)]","[(0, 3216.61279296875), (1, 2869.248046875)]","[(0, 2881.560791015625), (1, 4162.578125)]","[(0, 5404.23046875), (1, 3178.07421875)]","[(0, 16942.220703125), (1, 36144.23046875)]","[(0, 3280.1767578125), (1, 2943.22412109375)]","[(0, 2482.10693359375), (1, 1578.8865966796875)]","[(0, 5543.6162109375), (1, 5167.07568359375)]"
8,"[(0, 1297.0882568359375), (1, 1442.822998046875)]","[(0, 8636.9736328125), (1, 9092.392578125)]","[(0, 3600.608154296875), (1, 4091.60400390625)]","[(0, 2352.473876953125), (1, 1745.6793212890625)]","[(0, 465.50848388671875), (1, 472.3706359863281)]","[(0, 1733.775146484375), (1, 866.0785522460938)]","[(0, 2722.586181640625), (1, 2457.47119140625)]","[(0, 9309.34375), (1, 5353.09521484375)]","[(0, 11579.3583984375), (1, 6505.5986328125)]","[(0, 2683.766845703125), (1, 1931.2647705078125)]","[(0, 1927.28955078125), (1, 2368.70849609375)]","[(0, 18880.814453125), (1, 8333.6123046875)]","[(0, 27585.859375), (1, 31472.62890625)]","[(0, 4527.25244140625), (1, 3737.73974609375)]","[(0, 11040.04296875), (1, 8410.9736328125)]","[(0, 5579.38525390625), (1, 4445.84814453125)]","[(0, 3497.035400390625), (1, 2897.3515625)]","[(0, 1305.7738037109375), (1, 1019.4413452148438)]","[(0, 3355.31982421875), (1, 4205.15576171875)]","[(0, 5934.92724609375), (1, 5085.337890625)]","[(0, 2919.111328125), (1, 2716.462890625)]","[(0, 1558.0340576171875), (1, 1388.150146484375)]","[(0, 863.4765625), (1, 706.3787841796875)]"
9,"[(0, 3356.449462890625), (1, 2329.458984375)]","[(0, 7122.50390625), (1, 7331.68408203125)]","[(0, 6475.00341796875), (1, 7603.99462890625)]","[(0, 2689.303466796875), (1, 2010.7291259765625)]","[(0, 5953.54443359375), (1, 6508.36669921875)]","[(0, 2232.455322265625), (1, 930.9459228515625)]","[(0, 2787.15966796875), (1, 3097.734619140625)]","[(0, 14280.025390625), (1, 6992.14013671875)]","[(0, 11445.501953125), (1, 7046.7783203125)]","[(0, 78698.421875), (1, 82390.3359375)]","[(0, 2953.9375), (1, 3526.32568359375)]","[(0, 13460.875), (1, 3497.809326171875)]","[(0, 24076.8359375), (1, 27339.513671875)]","[(0, 6480.64404296875), (1, 6314.3662109375)]","[(0, 10335.1416015625), (1, 8954.4501953125)]","[(0, 3925.98486328125), (1, 4609.5361328125)]","[(0, 1398.177978515625), (1, 1101.86962890625)]","[(0, 1801.943603515625), (1, 2580.611328125)]","[(0, 5715.8759765625), (1, 4840.755859375)]","[(0, 3006.470703125), (1, 5135.88427734375)]","[(0, 2061.829833984375), (1, 1828.668701171875)]","[(0, 3299.041015625), (1, 2814.966552734375)]","[(0, 1294.6690673828125), (1, 1686.4271240234375)]"
