,best
adjunct_island,0.903
adv_order,0.452
wh_vs_that_with_gap,0.378
anaphor_gender_agreement,0.503
anaphor_number_agreement,0.493
recursion_pp_verb_long,0.999
center_embedding_double_1,0.445
recursion_pp_verb_medium,1.0
center_embedding_double_2,0.845
recursion_pp_verb_short,1.0
center_embedding_single_1,0.471
subj_aux_vary_verb_rc,0.437
center_embedding_single_2,0.736
complex_np_island,0.412
recursion_poss_transitive_medium,0.705
coordinate_structure_constrain_object_extraction,0.58
subj_aux_vary_verb_pp,0.388
determiner_noun_agreement_1,0.578
subj_verb_vary_verb,0.413
determiner_noun_agreement_2,0.735
svo_vos,0.588
determiner_noun_agreement_adj_1,0.54
swapped_ditransitive_1,0.814
determiner_noun_agreement_adj_2,0.608
ellipsis,0.584
green_ideas,0.45
intransitive,0.631
recursion_poss_transitive_short,0.79
left_branch_island_simple_question,0.105
recursion_pp_is_long,0.008
matrix_question_npi_licensor_present,0.298
npi_present,0.445
swapped_ditransitive_2,0.752
only_npi_licensor_present,0.968
only_npi_scope,0.208
pp_order,0.522
principle_A_c_command,0.475
principle_A_domain_1,1.0
principle_A_domain_2,0.523
principle_A_domain_3,0.484
transitive,0.854
recursion_intensifier_adj_long,1.0
wh_island,0.893
recursion_intensifier_adj_medium,1.0
wh_questions_object_gap,0.146
recursion_intensifier_adj_short,1.0
wh_vs_that_with_gap_long_distance,0.414
recursion_intensifier_adv_long,0.0
wh_questions_object_gap_long_distance,0.165
recursion_intensifier_adv_medium,0.0
wh_questions_subject_gap,0.718
recursion_intensifier_adv_short,0.0
wh_questions_subject_gap_long_distance,0.784
recursion_poss_ditransitive_long,0.426
recursion_pp_is_medium,0.0
recursion_poss_ditransitive_medium,0.501
recursion_pp_is_short,0.0
recursion_poss_ditransitive_short,0.583
wh_vs_that_no_gap,0.892
recursion_poss_transitive_long,0.553
subj_aux_agreement_question_vary_subj,0.489
sentential_negation_npi_licensor_present,0.417
wh_vs_that_no_gap_long_distance,0.907
sentential_negation_npi_scope,0.6
subj_aux_vary_subj,0.567
subj_aux_agreement_question_vary_aux,0.56
subj_aux_vary_verb,0.527
