,best
agreement_determiner_noun-across_1_adjective,0.6245
agreement_determiner_noun-between_neighbors,0.736
agreement_subject_verb-across_prepositional_phrase,0.546
agreement_subject_verb-across_relative_clause,0.5525
agreement_subject_verb-in_question_with_aux,0.5245
agreement_subject_verb-in_simple_question,0.5355
anaphor_agreement-pronoun_gender,0.553
argument_structure-dropped_argument,0.862
argument_structure-swapped_arguments,0.9985
argument_structure-transitive,0.6095
binding-principle_a,0.594
case-subjective_pronoun,0.981
ellipsis-n_bar,0.438
filler-gap-wh_question_object,0.487
filler-gap-wh_question_subject,0.7565
irregular-verb,0.667
island-effects-adjunct_island,0.6855
island-effects-coordinate_structure_constraint,0.489
local_attractor-in_question_with_aux,0.6625
npi_licensing-matrix_question,0.3955
npi_licensing-only_npi_licensor,0.7165
quantifiers-existential_there,0.874
quantifiers-superlative,0.4815
