,epoch_10
adjunct_island,0.739
adv_order,0.874
anaphor_gender_agreement,0.5
anaphor_number_agreement,0.48
center_embedding_double_1,0.303
center_embedding_double_2,0.95
center_embedding_single_1,0.071
center_embedding_single_2,0.986
complex_np_island,0.494
coordinate_structure_constrain_object_extraction,0.673
determiner_noun_agreement_1,0.499
determiner_noun_agreement_2,0.604
determiner_noun_agreement_adj_1,0.525
determiner_noun_agreement_adj_2,0.604
ellipsis,0.599
green_ideas,0.458
intransitive,0.61
left_branch_island_simple_question,0.287
matrix_question_npi_licensor_present,0.588
npi_present,0.336
only_npi_licensor_present,0.934
only_npi_scope,0.974
pp_order,0.682
principle_A_c_command,0.497
principle_A_domain_1,1.0
principle_A_domain_2,0.518
principle_A_domain_3,0.487
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.433
recursion_poss_ditransitive_medium,0.495
recursion_poss_ditransitive_short,0.621
recursion_poss_transitive_long,0.937
recursion_poss_transitive_medium,0.95
recursion_poss_transitive_short,0.987
recursion_pp_is_long,0.203
recursion_pp_is_medium,0.42
recursion_pp_is_short,0.627
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,0.925
sentential_negation_npi_licensor_present,0.289
sentential_negation_npi_scope,0.275
subj_aux_agreement_question_vary_aux,0.745
subj_aux_agreement_question_vary_subj,0.489
subj_aux_vary_subj,0.562
subj_aux_vary_verb,0.716
subj_aux_vary_verb_pp,0.497
subj_aux_vary_verb_rc,0.487
subj_verb_vary_verb,0.438
svo_vos,0.453
swapped_ditransitive_1,0.924
swapped_ditransitive_2,0.942
transitive,0.792
wh_island,0.907
wh_questions_object_gap,0.237
wh_questions_object_gap_long_distance,0.199
wh_questions_subject_gap,0.896
wh_questions_subject_gap_long_distance,0.917
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.2
wh_vs_that_with_gap_long_distance,0.213
