,best
adjunct_island,0.571
anaphor_gender_agreement,0.668
anaphor_number_agreement,0.519
animate_subject_passive,0.592
animate_subject_trans,0.393
causative,0.422
complex_NP_island,0.485
coordinate_structure_constraint_complex_left_branch,0.555
coordinate_structure_constraint_object_extraction,0.409
determiner_noun_agreement_1,0.519
determiner_noun_agreement_2,0.491
determiner_noun_agreement_irregular_1,0.517
determiner_noun_agreement_irregular_2,0.531
determiner_noun_agreement_with_adj_2,0.472
determiner_noun_agreement_with_adj_irregular_1,0.509
determiner_noun_agreement_with_adj_irregular_2,0.535
determiner_noun_agreement_with_adjective_1,0.521
distractor_agreement_relational_noun,0.488
distractor_agreement_relative_clause,0.519
drop_argument,0.477
ellipsis_n_bar_1,0.352
ellipsis_n_bar_2,0.31
existential_there_object_raising,0.682
existential_there_quantifiers_1,0.733
existential_there_quantifiers_2,0.535
existential_there_subject_raising,0.567
expletive_it_object_raising,0.627
inchoative,0.338
intransitive,0.39
irregular_past_participle_adjectives,0.175
irregular_past_participle_verbs,0.696
irregular_plural_subject_verb_agreement_1,0.52
irregular_plural_subject_verb_agreement_2,0.521
left_branch_island_echo_question,0.675
left_branch_island_simple_question,0.553
matrix_question_npi_licensor_present,0.041
npi_present_1,0.419
npi_present_2,0.377
only_npi_licensor_present,0.947
only_npi_scope,0.37
passive_1,0.603
passive_2,0.576
principle_A_c_command,0.58
principle_A_case_1,1.0
principle_A_case_2,0.458
principle_A_domain_1,1.0
principle_A_domain_2,0.485
principle_A_domain_3,0.513
principle_A_reconstruction,0.452
regular_plural_subject_verb_agreement_1,0.465
regular_plural_subject_verb_agreement_2,0.471
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.49
sentential_subject_island,0.455
superlative_quantifiers_1,0.509
superlative_quantifiers_2,0.181
tough_vs_raising_1,0.461
tough_vs_raising_2,0.586
transitive,0.614
wh_island,0.927
wh_questions_object_gap,0.804
wh_questions_subject_gap,0.996
wh_questions_subject_gap_long_distance,0.951
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.0
wh_vs_that_with_gap_long_distance,0.0
